EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
ADIRF,MT-ND6,PRM1,PRM1,PRM1
TUBA1B,PRM2,PRM2,PRM2,PRM2
PCBP1,PRM1,MT-RNR2,MT-ND6,HMGB4
EEF1D,FTH1,HMGB4,FTH1,TSACC
MT-ND6,HLA-DRB6,MT-RNR1,UBB,LELP1
UBB,ADIRF,HIST1H4C,ADIRF,TNP1
LINC01921,UBB,TSACC,HMGB4,CRISP2
COX20,TUBA1B,ID3,EEF1D,SMCP
FTH1,LELP1,HLA-DRB6,GAPDH,LINC00467
LRRC75A-AS1,HMGB4,MT-ATP8,PCBP1,SPTY2D1OS
ICAM2,MT-ND1,LELP1,TUBA1B,MT-RNR2
GAPDH,CRISP2,TSC22D3,LRRC75A-AS1,TCP11
PRELID1,LINC00467,TNP1,HLA-C,AL365357.1
ARL2BP,B2M,RAMP3,IGFBP7,C10orf62
MT-TE,SMCP,DUSP1,HLA-A,NUPR2
HLA-DRB5,MT-ND2,CALM1,TSACC,TPPP2
RAB1B,TSACC,CRISP2,AL450405.1,GSG1
FLII,TNP1,ACTG1,HLA-DRB5,PHF7
EMC6,TRIM36,MT-ND4L,LELP1,TRIM36
KBTBD4,CABS1,CD59,LINC00467,AKAP4
NUDT3,C10orf62,LINC00467,JUN,DUSP1
TMA7,LRRC75A-AS1,SMCP,VIM,MT-ND1
NHP2,TPPP2,MT-CO1,HLA-DRB6,ACKR1
PPIB,GSG1,CFL1,CRISP2,MT-ND2
MIF,EEF1D,ANXA2,PTGDS,BOD1L2
MT-TW,AKAP4,SPTY2D1OS,SMCP,CABS1
DDT,SPTY2D1OS,ACTB,PPIB,CAPZA3
TUBA1C,NUPR2,MLF1,MT-ND5,GTSF1
DUSP1,TMA7,ACKR1,JUNB,CMTM2
PET100,ATP5ME,BRK1,ACTA2,POSTN
SH3BP5,TEX46,TAGLN2,HSPG2,OAZ3
ILK,GAPDH,TCP11,PTMS,IZUMO4
AC092069.1,GPX3,TPI1,TNP1,ROPN1L
KANK3,MT-TE,NFKBIA,C10orf62,C1orf194
ISLR,SH3RF2,TMEM230,HSPA1A,MLF1
PINK1,DUSP1,NUPR2,ACTB,SPINK2
SRSF9,FCN3,C10orf62,SELENOP,PROCA1
XAF1,SELENOP,GPX3,HLA-B,SH3RF2
ARHGDIA,CCDC196,HLA-DRA,SPTY2D1OS,GTSF1L
CDK4,PROCA1,TPPP2,TPPP2,CALM1
HSPG2,TCP11,FKBP1A,HSPB1,LEMD1
MT-ND1,NNMT,SLC25A5,TAGLN,LINC00301
MTATP6P1,MS4A14,CD74,EEF1A1,TMCO5A
TSSK2,ACSBG2,GSG1,CCDC85B,LGALS1
SNORD13,CEP170P1,NPDC1,GADD45B,TEX38
MGAT2,PCBP1,FAM229B,ISLR,CCDC196
ADGRA2,LINC00301,ADGRL4,FOS,LINC00919
AC115618.3,ACKR1,AKAP4,NOP53,CABYR
ICAM3,C12orf54,FTL,CRIP2,CDKN3
SPSB3,CCL23,EIF3I,RAMP2,CCL23
MAZ,GTSF1L,FCN3,AKAP4,AC010255.3
AC098679.1,TSPAN1,MT-ND2,LGALS1,TEX46
ZFPL1,CAPZA3,SYPL1,H1FX,ACSBG2
LY6K,C12orf50,HACD3,TPT1,SPATA42
AC005912.1,LEMD1,HIST1H2AA,TRIM36,UBL4B
RDX,OAZ3,PABPC1,MT-CO1,SPATA3
FBXW2,AC010255.3,SYNGR2,CTGF,CCDC54
GAPDHS,TSPAN16,MTRNR2L1,MT-CO3,MS4A14
CERS2,BPIFA3,TRIM36,GSG1,FAM229B
GPX3,TMCO5A,FCGRT,ACKR1,ACTL7A
LSM1,CCDC70,CD151,TCP11,ISLR
MYL12A,FSCN3,CABS1,NUPR2,TMEM31
IFITM3,SPATA3,CAPZA3,CABS1,SPATA33
AHR,ID3,MT-ND1,APOD,C12orf50
MAP3K12,SPATA42,DCUN1D1,GNG11,ID3
CAP1,CLU,AQP1,MT-ND4,HIST1H2AA
STUB1,PHF7,VIM,PRDX1,C12orf54
AP1G2,FAM81B,ARF4,LEMD1,CDIPT-AS1
FAR2P1,SPATA19,DAZAP2,ZFP36,B2M
MT-RNR1,DNAJB8,TSPAN7,POSTN,COX8C
ACAT2,SH3GL3,ODF2,B2M,KIF2C
C8orf59,UBL4B,RPN2,BCAM,SPATA19
PRDX2,MT-ND3,ERGIC3,SQSTM1,TEX35
TAP1,ACAP1,MT-CYB,ICAM2,PGK2
STK24,C1orf194,ID1,HLA-E,C20orf141
C8orf48,RAMP3,IL3RA,CAPZA3,S100A10
MT-CO2,SPRY1,SERPINA5,ID3,CAV1
ATP5ME,UBQLN3,OAZ3,PROCA1,AC097636.1
PLPP1,DCUN1D1,BOD1L2,SLC25A6,MRVI1-AS1
NDUFS7,TEX35,NQO1,GAS6,TSPAN16
PNPLA6,ODF2,PSMF1,GTSF1,C9orf24
RANGRF,PPM1G,UBE2L6,ESAM,FSCN3
HIST1H4C,IZUMO4,SLC3A2,FXYD6,BPIFA3
PTTG1IP,PGK2,S100A10,TXNIP,TIMD4
SELENOP,TEX44,TSPAN6,TEX46,FAM81B
FDPS,BOD1L2,GLUL,CCDC196,MAEL
OST4,CMTM2,S100A16,MLF1,CCDC37-AS1
C22orf23,MT-ATP8,CLDN5,OAZ3,TCP10L
CCZ1,TEX38,SH3RF2,DCN,ROPN1B
JPX,ACTL7A,PSMC5,HSPA1B,ANKRD7
NUMA1,RNF151,TMEM59,PSME1,RNF151
MAPK7,CST3,TMED9,MS4A14,TSSK6
MAN2C1,GABRG3-AS1,CMTM2,NOSTRIN,VIM
HNRNPA1L2,CCDC54,CIRBP,ACSBG2,C16orf82
NPDC1,TMEM31,PROCA1,C1orf115,TPD52L3
SERPING1,C9orf24,TSNAX,AC010255.3,DNAJB8
HLA-DRB6,AC005912.1,PTMA,IER2,DNAJC5B
ELN,PECAM1,LAPTM4A,RBP1,CSMD2-AS1
ITPKB,CDIPT-AS1,EIF1,FKBP5,AC239803.2
OLFML2A,ACTRT2,PPP2R1A,BRI3,EIF1
PSMD7,FAM187B,EEF1A1,CCDC54,SPACA3
CLSTN1,TCP10L,PRDX3,TMCO5A,ADAD1
SPARCL1,ANKMY1,ASS1,SPATA42,FAM71F1
SEC14L1,SPACA9,KLHDC3,SH3RF2,CCDC70
MT-ND2,OLFM1,C1orf194,NNMT,GABRG3-AS1
B2M,ROPN1L,OLFM1,PHF7,PPP1R2C
DDX5,SGK1,TAF9,TMEM31,IQCF1
NNMT,CABYR,ALKBH7,MYL9,FAM229A
TCIM,CSMD2-AS1,SON,C12orf54,DDX4
FKBP5,NTRK3-AS1,CD320,SPATA3,SH3GL3
SLC33A1,GTSF1,PHF7,ILK,UBQLN3
LGALS1,TPD52L3,NDUFB5,AES,CEP170P1
GLMP,SPACA3,CAPZB,TAGLN2,LINC01191
ZNF786,PRM3,SRGN,BST2,LINC00608
PDIA6,SPINK5,IGF2,SPATA19,CT83
SC5D,AQP1,IZUMO4,TEX38,FAM187B
MT-TL1,C16orf82,TUFM,GTSF1L,TEX44
BECN1,TCIM,CABYR,CAVIN1,PTGDS
FOSB,ISG20L2,GTSF1L,FDPS,SMKR1
SDR39U1,ALKBH7,TMEM219,LMO2,NTRK3-AS1
FAHD2CP,TSSK6,ROPN1L,BPIFA3,C10orf82
MAMLD1,TIMD4,LINC00301,UBL4B,SPACA9
CAPSL,SPATA33,AKR1C3,HLA-F,ACTRT2
HNRNPA1,LINC00608,MYC,CEP170P1,SPANXB1
TSSK1B,PRDX1,ANAPC13,LINC00301,FAM71E1
IRF2BP2,GSN,ATAD1,PRDX2,NNMT
TUBA3C,KIF2C,PSMB5,CDIPT-AS1,AQP5
ZMAT5,ID1,LEMD1,CT83,C10orf53
ANXA1,MFAP3L,UBE2D3,BOD1L2,AKAP14
NTMT1,FAM229B,CCDC54,DSTN,ROPN1
MT-ND5,DUSP23,TMCO5A,S100A10,H1FNT
POLR2E,USP2,AC010255.3,FSCN3,CYLC1
,MLF1,DRG1,FAM81B,DDI1
,HLA-DQA2,CRHBP,AC239803.2,HEMGN
,IQCF1,NNMT,COX8C,MFAP3L
,FOS,MORN2,DCUN1D1,IFITM3
,CCDC91,TEX38,IER3,AC109635.4
,HEMGN,CCDC196,SNHG7,TEX37
,PFDN5,LINC00919,NACA,ACAP1
,POSTN,EGFL7,C12orf50,TEX26
,CCDC136,PCBP2,MT-CYB,TSPAN1
,AQP5,ECH1,ROPN1L,DYNLRB2
,LINC01681,OSMR,CCDC37-AS1,PDXK
,IGFBP7,LY6E,DNAJC5B,LINC00943
,FAM107A,OSER1,ARL2BP,SPACA7
,C20orf141,TSPAN1,EGR1,SCP2D1
,DNAJC5B,ACSBG2,FOSB,SAMD4A
,DKKL1,TEX46,C11orf96,DCUN1D1
,SPATA18,TPD52L1,C1orf194,PNRC1
,SMKR1,TEX264,CMTM2,BRDT
,TEX37,HLA-DPA1,FAM187B,ARMC12
,C7orf31,MS4A14,TIMD4,IQCF2
,ARMC12,UBE2N,ACTL7A,TMCO2
,LINC02189,CDKN3,MCTP1,CYLC2
,C10orf82,PGK1,KIF2C,LCA5L
,PPIB,RHOC,MKL2,SPATA18
,SAMD4A,SPATA42,C9orf24,PRM3
,FUNDC2P2,TMEM31,MT-ND1,SPEM2
,LGALS1,C12orf54,HLA-DRB1,LINC02189
,IFITM3,UBL4B,TSPAN16,DNAJA4
,SLCO2A1,SPATA3,NTRK3-AS1,C6orf99
,MRVI1-AS1,HLA-DMB,MT-ATP6,LINC00854
,FAM71E1,GPX4,SH3BP5,AKAP3
,MCTP1,SLCO2A1,CSMD2-AS1,ADIG
,ICAM2,ILF2,NHP2,CCDC169
,SCP2D1,EIF5A,GABRG3-AS1,SEPT7P9
,SEPT7P9,ADGRG1,CAV1,RNF32
,SPEM2,ACTL7A,CLEC14A,HLA-DRB6
,C6orf99,ATP5PB,LINC00919,IQCF3
,CCSER2,PPP6C,TEX35,VWA3B
,OST4,BAG5,CYLC1,CST13P
,LINC01227,HLA-DMA,FAM71E1,IFITM2
,C8orf59,ITM2A,OAZ1,ODF2
,AC092666.1,LDB2,PRELID1,ACRBP
,LRRC37A16P,AMZ2,MT-ND4L,CCDC136
,MT-TS2,POSTN,C20orf141,SPANXD
,CCDC37-AS1,C12orf50,TCP10L,FANCD2OS
,AL355357.1,CCL23,DNAJB8,BANF2
,FAM71F1,VRK3,TSPAN1,LINC01350
,AL359853.3,SRPK2,IZUMO4,RBP7
,ADAD1,FAM110D,MALAT1,C2orf88
,TEX51,TFPI,XIST,CLPB
,BANF2,PDXK,SPINK2,DCN
,HLA-DRB5,VAMP2,TPD52L3,RAB11FIP4
,JUN,GSTK1,FAM107A,PLCZ1
,AC097636.1,LEPROT,KANK3,BCL2L14
,MYL12A,JPT1,TSSK6,C17orf64
,AC109635.4,ATP1B3,FAM71F1,TEX51
,AC140479.4,VDAC2,AC097636.1,AL596275.2
,TEKT3,FBXO7,AC007681.1,MAP3K14-AS1
,CYLC1,BCAP31,LINC00608,AL355357.1
,LINC00854,EFNA1,IQCF2,IRGC
,ISLR,CYYR1,MT-CO2,PAGE2B
,IL3RA,SPATA19,SCP2D1,HSPA4L
,MORN2,TEX35,DDT,BST2
,RNF133,PSMA1,CST13P,SPATA4
,CYLC2,DDX5,CABYR,DKKL1
,FAM229A,KDELR2,TEX37,SIRPD
,LINC00943,SGK1,FAM229B,PRR30
,IQCF3,PSMA7,EPHX1,AL359853.3
,ZBTB20-AS1,PGK2,C10orf82,AC092666.1
,SPATA7,MT-CO2,CAVIN2,IZUMO2
