Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
CD68,MT-ND6,PRM1,MT-ND6,HMGB4
PCBP1,PRM2,PRM2,PRM2,PRM2
TUBA1C,FTH1,HLA-DRB6,PRM1,PRM1
ADCY7,PRM1,VSIG4,FTH1,TNP1
NUDT3,TUBA1B,FTL,FKBP5,LELP1
IGF1,UBB,ANXA2,UBB,TSACC
EEF1D,MT-ND1,HMGB4,CD163,CRISP2
TUBA1B,HLA-DRB6,MT-RNR1,IGFBP7,SMCP
STUB1,CLU,CD163,JUNB,S100A9
PET100,FKBP5,MT-ATP8,HLA-DRB6,C10orf62
ARL2BP,CD163,FKBP5,ADIRF,TCP11
DDT,S100A9,HIST1H2AA,VSIG4,CD163
LTBP2,IFNGR1,GPX1,TUBA1B,FKBP5
CCL13,LCP1,MT-RNR2,JUN,CAPZA3
NR4A1,RNASE2,HLA-DQA2,PCBP1,CABS1
COX20,VSIG4,TNP1,ZFP36,RNASE2
ANAPC15,S100A4,RNASE6,HMGB4,SPTY2D1OS
PCSK7,HLA-DQB1,C1QB,S100A9,VSIG4
SPOCK1,SELENOP,ACTB,PTGDS,GSG1
AC098679.1,CCL3,RACK1,CCL3,AKAP4
AC020656.1,MT-ND2,C1QC,MT-ND1,NUPR2
MT-TW,PCBP1,ALOX5AP,EEF1D,HIST1H2AA
FAM86C1,HLA-DQA2,MT-ND2,HLA-DRB5,TPPP2
RNU6-6P,GPX1,CD53,IFNGR1,S100A8
ZNF781,GAPDH,CD74,FOS,EMP1
MIF,HLA-DRB5,LELP1,FOSB,MT-ND1
LINC01921,S100A8,C3AR1,ACTA2,S100A4
CDK4,S100A6,CFL1,GAPDH,LINC00919
HYI,HMGB4,S100A9,IER2,MT-ND2
SLC25A51P1,PTGDS,TPI1,RNASE6,MRC1
IL2RA,LELP1,CTSB,IL13RA1,SPACA3
PINK1,IL13RA1,ARHGDIB,HLA-DQB1,ROPN1L
KAT5,C1orf162,CRISP2,ALOX5AP,BOD1L2
PSMA8,FTL,TXNIP,TXNIP,ANXA2
CCL2,RNASE6,MT-ND1,TNP1,MT-RNR2
GAPDH,CRISP2,MS4A6A,HLA-DQA2,OAZ3
FGF13,EEF1D,PABPC1,C1orf162,CCDC196
NDUFS7,IGF1,DAZAP2,CCL4L2,HLA-DRB1
ENPP2,ARPC2,TSACC,CCL4,GTSF1L
CKAP2L,ALOX5AP,CAPG,LCP1,C1QB
CD36,TNP1,GSN,MRC1,MLF1
SMURF1,ITM2B,FCGR2B,HLA-A,S100A6
ACO2,SPARC,IFNGR1,DUSP1,TEX35
SPATA8,GSN,EEF1A1,LELP1,TEX46
LPCAT3,FTLP3,SDCBP,MT-ND2,RETN
MT-ND6,PPIB,SLC25A5,CYBB,ALOX5AP
ZNF876P,S100A10,S100A4,IQGAP1,GPX1
TESK1,CABS1,GRN,PPIB,HLA-DPA1
NOL3,ANXA2,MT-CO3,S100A4,LYVE1
NACC2,APBB1IP,LAPTM5,MS4A6A,IQGAP1
SUN2,HSP90AB1,LGALS3,EGR1,MT-CO3
NRL,GLIPR1,AKR1B1,PPP1R15A,C1QA
NACC1,S100A11,PGK1,CD164,ACSBG2
AC108733.1,MT-TW,TAGLN2,RAB31,SPATA42
CHPF2,CYBB,HLA-DRA,TAGLN,SPATA3
AC024619.1,TLR2,RETN,CCL3L1,C1QC
FTH1,PABPC1,VSIR,BTG2,CTSB
PC,MED12L,UBA52,CRISP2,C1orf194
GAPDHS,RETN,RHOA,FTL,LINC00301
LINC01760,SMCP,ARPC2,RNASE2,CDIPT-AS1
C1orf158,DEFB119,ADORA3,S100A11,FSCN3
IFNAR2,CD68,SRGN,ADORA3,C12orf54
JMJD8,TMA7,S100A10,ACTR2,HLA-DQB1
IQCK,LAPTM5,ATP6V0E1,DCN,CD164
MBD3,SERPINA5,RNASE2,C1QB,VIM
PRKCQ-AS1,MT-ND3,LIPA,IER3,LCP1
MYZAP,IGFBP7,MT-ND4L,S100A8,TEX38
GREB1,CD164,ATP5F1B,DNAJB1,AC010255.3
NCBP2L,LRRC75A-AS1,PKM,ANXA2,CSMD2-AS1
EGFR,HSPA8,C1QA,HSPA1B,FAM229B
EPB41L1,MT-CO3,SMCP,GADD45B,RNASE6
EGR2,A2M,LAMTOR1,H1FX,TEX37
EPHX1,FOXN2,PPT1,RNASE1,HIST1H2BA
HTRA1,C10orf62,PRDX3,MT-TW,IQCF1
SV2B,RGS1,MT-CO1,AL450405.1,IZUMO4
NAV2,CLEC4E,TALDO1,AIF1,LEMD1
UBB,C3AR1,ATP6V0B,SDCBP,LINC00467
MAP2K7,HCLS1,RGS1,TSACC,GSN
JADE1,ALCAM,SCAMP2,LRRC75A-AS1,PHF7
CTSA,SLC1A3,SYNGR2,MT-ND5,SH3RF2
SRSF9,ANPEP,GSTK1,MYL9,SPANXB1
NFYA,CCL4,MLF1,XIST,S100A10
ODF2L,MT-TY,CLIC1,CD69,TCN2
CCL8,MS4A6A,GPX4,ANXA5,SH3BGRL3
FAXDC2,SLC11A1,LDHA,CTSS,TMCO5A
AC007390.2,MT-TE,HSPA8,MGP,BPIFA3
AC005261.3,CERKL,EIF3I,S100A6,TMCO2
AC093535.2,TXNIP,C10orf62,JUND,SPATA19
AC025575.1,ARHGDIB,ENO1,EGR2,HIST1H1T
ADCYAP1,RACK1,TLR2,C3AR1,ACTL7A
FAM72C,TYROBP,FCGRT,CSF1R,FAM81B
LRRC37A17P,IER3,S100A6,AHNAK,TEX26
WHAMMP2,ANXA5,FKBP1A,FCER1G,ERICH2
AC016825.1,TIMP2,ARPC4,SQSTM1,HLA-DPB1
AC117500.1,IQGAP1,TNFAIP8L2,CCL2,FTL
PLEKHA4,PTMA,C20orf27,NR4A1,HLA-DRB6
AC114947.2,CORO1C,ACTG1,NFKBIA,C1orf162
COCH,HIST1H4E,CCL2,PPT1,ROPN1B
H3F3C,LPL,RPN2,ARPC5,PPP1R2C
AC009533.1,LGALS1,BLVRB,F13A1,ADAD1
AL139353.1,MT-CO2,PSMF1,ZFP36L2,C20orf141
AC002350.1,DCN,FPR1,PMP22,GAGE2A
CFAP126,COL1A2,ARRB2,H3F3B,CCDC54
TNS2,XRCC5,DAD1,SLC1A3,TMEM236
CCDC87,ADIRF,LDHB,KCTD12,CCL4
TANGO2,CLDN11,MT-CO2,CDC42,FCER1G
PHKA1,CCL2,CD164,SMCP,LGALS1
DNAJB13,AHNAK,MS4A4A,UBC,HLA-DRA
AC096536.2,CD36,OAZ1,DUSP6,ACSL1
AC093799.1,EPS8,RHOG,PRELID1,IFNGR1
LINC02264,GSTA1,MSN,NOP53,PMP22
LINGO1-AS1,AIF1,CLEC10A,COLEC12,ANKRD7
AC018628.1,NCF2,RHOC,CIRBP,COX8C
AC135983.3,LRRK2,LYZ,SAMHD1,AC097636.1
LRFN3,SRGN,METTL7A,SMAP2,SPANXD
LMNB1-DT,SLA,HCLS1,HLA-E,GABRG3-AS1
PSKH1,ENO1,TBXAS1,CLEC4E,VWA3B
PRMT5,SIGLEC14,ARPC3,AC103591.3,DNAJB8
MGAT2,EVI2B,SPTY2D1OS,VCAN,SPACA7
CDS1,MIR202HG,SPG21,C11orf96,FAM71F1
MINDY4,PTTG1IP,TMEM230,FCGR3A,CCDC168
PYY2,PFN1,GPSM3,HCST,C3
C8orf58,ZFP36,SLC1A3,XRCC5,CCL4L2
MCM10,TMEM236,PRPF40A,MT-ND3,SLC11A1
MAZ,OLFML3,CLEC4E,MYO5A,RNASE1
AC005363.2,MT-ATP8,SLC25A6,ARHGAP18,SH2D4A
PTMAP4,ATP5ME,TCN2,GPX1,GLDN
DLG5,SDCBP,SPTSSA,TMA7,UBL4B
GAP43,FOS,EIF3D,C10orf62,TSPAN16
AC006148.2,UBA52,LHFPL2,HSPA1A,C16orf82
AL365217.1,XAF1,C1orf162,DUSP2,SPANXN3
CCDC107,CLIC1,SESN1,KLF2,CYLC2
AC007003.1,TSACC,CPVL,MFSD1,IQCF3
TCEA1P3,ACTR2,FTLP3,SKAP2,RNF151
AC061709.1,ITGB2,HADHA,45717,CCDC173
UST,EIF1,RAC2,ATF3,TBX18-AS1
CCDC13,MRC1,CTSD,CLTC,MT-ND3
Z99289.1,COX20,TCP11,MTATP6P1,CCL3L1
CASC19,LHFPL2,FAH,CORO1C,AC239803.2
IGKV1-13,AL138899.1,ATP5PB,HLA-B,TMEM31
CNTNAP4,MSN,LINC00467,FOXN2,SPINK2
AP001109.1,TIMP3,EIF3K,ITM2C,FCGBP
CBR3,BMP2K,BRK1,CD68,CPM
PAPPA,LINC01681,APH1A,NR4A2,TSSK6
CBX8,TCN2,SSR1,EVL,HCLS1
HMMR-AS1,NUDT3,RTN3,C1QC,AL365357.1
AC007032.1,BEX3,ITGB2,RETN,CD74
SNHG10,CPE,CLTC,PNRC1,DDI1
ZNRF3,VAMP8,OSTF1,LHFPL2,ADIG
PCBP3,APOA1,TMEM219,LGALS1,LINC01350
LINC02139,CCL4L2,HM13,S100A10,DDX4
LINC02281,JUNB,GNPDA1,TCN2,CCDC37-AS1
PCDHB11,CCDC196,PPIA,FGL2,CCDC70
AL138799.2,CTSH,ATP6V0D1,MSR1,HEMGN
C1orf127,ZSCAN31,HLA-DMA,SLC11A1,TEX44
AL133410.1,SQSTM1,HLA-C,TCP11,ADORA3
AL079307.1,MGP,MALAT1,ARHGDIA,C12orf50
DEAF1,AES,MRC1,TLR2,BLVRB
ALKBH6,GSTM3,ACSL1,C12orf57,PLTP
AC007383.2,SLFN12,ATP6V1F,TIMP3,CDKN3
AC007842.1,FATE1,ATP6AP2,HSPB6,MT-CYB
AC005726.1,TPPP2,PARP14,SELENOM,HLA-DQA1
ALG1,CAPG,CD302,ENO1,LPL
FAM153A,FPR1,TPP1,ACSL1,FAH
LINC01717,CAPZA3,PPP1CA,C1QA,TPM3
DNASE1L3,DIAPH1,ADAM10,VPS35,ARPC2
DNAJC5G,ADORA3,SSR2,GSN,PTGDS
AL445686.2,PRELID1,ATP5MC2,EPS8,ACTRT2
LINC00032,SIRPB1,EIF1,CCL5,UBQLN3
AC008739.1,HERPUD1,SPI1,ETS2,CT83
ATP2A3,HMGN5,DRAM2,EMP1,TPD52L3
AC025181.2,ADCY7,EGR1,CD83,LDHC
DNAJB5,SRSF9,PRDX1,PDK4,IZUMO2
LINC02336,SPIDR,CD9,ARPC2,PAGE2B
LINC02259,HLA-B,CAPZB,VMP1,NTRK3-AS1
LINC01725,MAMDC2,LY86,HLA-DRB1,TEX53
AL445238.1,INSL3,CTSH,CTSB,FOS
TMEM86B,ITGA4,CAPZA3,EVI2B,SMKR1
TMEM254-AS1,FCER1G,LGALS1,MLF1,DCAF4L1
