LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
MT-TE,MT-ND6,PRM1,PRM1,TNP1
ADIRF,FTH1,PRM2,PRM2,CRISP2
TUBA1B,PRM2,HMGB4,CALB2,SMCP
PPIB,PRM1,PRDX3,CYP17A1,TSACC
MT-ND6,ADIRF,TPI1,MT-ND6,HIST1H2AA
GAPDH,UBB,EPHX1,HMGB4,LELP1
ARL2BP,SELENOP,LELP1,HSD17B6,HMGB4
FTH1,GAPDH,TMEM230,GJA1,PRM1
EEF1D,TUBA1B,SMCP,HIST1H2AA,PRM2
UBB,MT-TE,MT-RNR2,LELP1,TCP11
LINC01921,PPIB,PCBP2,TSACC,LINC00919
PCBP1,TMA7,SPTY2D1OS,LHCGR,SPINK2
TUBB4A,NECAB1,DAZAP2,TM7SF2,PAGE2B
MT-TL1,HMGB4,PRAF2,SMCP,C10orf62
ATP5ME,SMCP,CRISP2,NSG1,GTSF1
PRDX1,GLUL,TSACC,FTH1,AKAP4
MT-TW,EEF1D,SLC25A5,ADIRF,BOD1L2
MIF,LELP1,NDN,DIRAS3,CAPZA3
FDPS,TMEM70,EIF3I,DNASE1L3,NUPR2
SELENOP,ATP5ME,TNP1,PLEK2,PAGE2
TMA7,LINC01681,GLUL,IGFBP7,GAGE2A
GSTA2,IGF1,TAGLN2,HSPB6,GAGE12H
PROK1,CRISP2,AKR1B1,SELENOP,MAGEB2
TUBA1C,MT3,HADHB,GAPDH,DDX4
COX20,RNASE1,STOML2,MT3,STK31
PLP1,TSACC,S100A16,CRISP2,GSG1
SLC31A2,PRDX1,FKBP1A,LTBP4,GAGE13
DDT,PTGDS,KDELR2,LINC00919,PDCL2
ACAT2,GAGE12H,ECH1,INSL3,DCAF4L1
HLA-DRB1,PCBP1,PTGDS,SPTY2D1OS,FMR1NB
AAMDC,TIMP2,SERPINF1,ACE2,TRIM36
SH3BP5,BBS2,MDH2,JUN,SYCP3
OLFML3,TAPBP,C7,TCP11,CALB2
SPRR2B,CD83,LINC00919,PLTP,CMTM2
C1R,TCP11,ARF4,JUNB,SPTY2D1OS
ARHGDIA,CYB5R3,TSC22D3,UBB,ROPN1L
MT-TC,TSC22D3,TMEM70,PAGE2B,HSD17B6
CYB561A3,ACTA2,GPX3,BX119904.2,BX119904.2
PRELID1,EFNA1,MT-RNR1,FXYD6,PPP1R2C
MT-TV,LRRC75A-AS1,DIRAS3,AKAP4,MAGEA4
NHP2,DEFB119,MT-CYB,EEF1D,SPATA3
NR4A1,ALKBH7,HIGD1A,KRT18,TMCO5A
AC015917.2,CTNNAL1,TCP11,TUBA1B,PAGE5
SDR39U1,APOE,RBP1,PPIB,TTK
SRSF9,RASD1,LAPTM4A,VIM,TPPP2
FABP3,CYP17A1,AP1S1,FAM19A3,HIST1H2BA
