Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
TUBA1B,MT-ND6,PRM1,CABS1,COX8C
ADIRF,FTH1,PRM2,SMCP,UBQLN3
ILK,ACTA2,HMGB4,LELP1,SPATA42
PPIB,UBB,MT-ND4L,HMGB4,LINC00301
EEF1D,TUBA1B,MT-ATP8,MT-ND6,FAM81B
LINC01921,GAPDH,ACTB,PRM2,MS4A14
COX20,ADIRF,HIST1H4C,PRM1,TEX44
PCBP1,EEF1D,LELP1,AKAP4,IZUMO4
DDT,PRM1,TSACC,C10orf62,C1orf194
UBB,PPIB,TNP1,CRISP2,DDI1
MT-ND6,PRM2,HIST1H2AA,TEX46,C20orf141
ARL2BP,PCBP1,SMCP,FTH1,ACTL7A
KRT13,TIMP2,CRISP2,CCDC196,ACSBG2
PRELID1,PTGDS,ACTG1,ACTA2,MRVI1-AS1
AC098679.1,HSPB6,TCP11,SPATA3,CDIPT-AS1
GAPDH,IGFBP7,MT-RNR2,GAPDH,CSMD2-AS1
RANGRF,LRRC75A-AS1,MT-ND3,OAZ3,IQCF1
LRRC75A-AS1,SELENOP,SPTY2D1OS,CDIPT-AS1,TEX38
FTH1,C11orf96,LAPTM4A,TPPP2,C12orf54
IQCF5,SQSTM1,MT-CO3,TAGLN,CCDC54
PGAM2,TPT1,C10orf62,GSG1,UBL4B
ACTA2,PRDX2,MLF1,ADIRF,LEMD1
PTRH1,PRDX1,CFL1,TSACC,GTSF1
MIF,AES,MT-CO2,C11orf96,ROPN1L
TSSK2,CABS1,AKAP4,PROCA1,GTSF1L
CDK4,FXYD6,NUPR2,TCP11,CMTM2
NHP2,COX20,OAZ3,UBB,TMCO5A
SDR39U1,TMSB10,LINC00467,C12orf54,TEX46
GAPDHS,ILK,GSG1,TNP1,AC010255.3
CCDC107,RNASE1,FAM229B,LEMD1,PROCA1
SELENOP,LTBP4,CABS1,GTSF1,CCDC196
PRDX2,LELP1,MYL9,TUBA1B,SPATA3
MT-TE,ITM2B,TPI1,TMCO5A,TRIM36
MSMP,TEX46,TPPP2,LINC00467,SH3RF2
EMC6,LAMC3,RHOA,IGFBP7,BOD1L2
RAB1B,SH3BP5,PSMF1,FSCN3,LINC00919
TMA7,CCDC196,BOD1L2,CAPZA3,CAPZA3
PHB,TMA7,TMEM230,ACSBG2,OAZ3
JPX,APOE,DCUN1D1,AC010255.3,TPPP2
AES,CRISP2,TRIM36,DDI1,CABS1
MT-TW,DCUN1D1,CAPZA3,TMEM31,NUPR2
STUB1,SMCP,GLUL,C20orf141,GSG1
TUBA1C,SRSF9,MT-RNR1,CEP170P1,PHF7
IGF1,KRT13,PHF7,UBL4B,AKAP4
HSPB6,HMGB4,MT-ND1,EEF1D,SPTY2D1OS
SPSB3,PTMS,ODF2,IQCF1,C10orf62
ZNF593,IGF1,PRDX3,CCDC54,LINC00467
AL078639.1,TRIM36,TEX46,CSMD2-AS1,TCP11
PCOTH,B2M,PROCA1,SPATA19,SMCP
DEXI,NHP2,PDXK,MS4A14,TSACC
AC016825.1,BRI3,CCDC196,SPTY2D1OS,CRISP2
MORN4,ARL2BP,GPX4,SPATA42,LELP1
TSSK3,LINC00467,SPATA3,GABRG3-AS1,TNP1
BRF2,PROCA1,ERGIC3,TEX44,HMGB4
KCNIP2-AS1,FHL5,RNF38,BPIFA3,PRM2
CCDC86,DDT,AMZ2,ACTL7A,PRM1
NDUFS7,MT-RNR1,CABYR,FAM81B,BPIFA3
TAGLN,UBQLN3,SH3RF2,SEPT7P9,FSCN3
PSMC3IP,ACSBG2,MT-ND2,JUN,SPATA19
PRMT5,SPATA3,CMTM2,UBQLN3,PGK2
A2M,OAZ3,CDIPT-AS1,TSSK6,TIMD4
AIMP2,CEP170P1,COX6C,DNAJB8,SMKR1
SFRP4,MS4A14,UBE2N,SCP2D1,LINC01191
LDHAL6B,TPPP2,TMCO5A,C9orf24,DNAJB8
ZMAT5,C10orf62,ARPC2,C10orf82,TMEM31
PODN,PRELID1,C1orf194,ADIG,SPINK2
FDPS,SSPN,LINC00919,LINC00919,C16orf82
STPG3,CSMD2-AS1,FHL1,VIM,C9orf24
NTMT1,CDK4,ARL4A,MLF1,TSSK6
MT-RNR1,SPTY2D1OS,MT-ATP6,TEX37,ADAD1
BUD31,AKAP4,IPO5,KIF2C,TEX35
DNASE1L3,OST4,TEX38,CCDC37-AS1,C10orf53
TLN1,GSG1,IZUMO4,CABYR,GABRG3-AS1
C8orf59,SRP14,MFF,SH3GL3,ACTRT2
BAD,MT-RNR2,ACSBG2,JUNB,CCDC70
SRSF9,PODN,RTL8C,TEX38,TSPAN16
THBS4,APOA1,UBL4B,CT83,CCDC37-AS1
PTGDS,TCP11,CCDC54,GTSF1L,ROPN1B
