ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
TUBA1B,FTH1,PRM1,TUBA1B,C10orf62
MT-ND6,TUBA1B,PRM2,PCBP1,SPINK2
GAPDH,GAPDH,HMGB4,TUBB4A,TCP11
FTH1,UBB,MT-RNR1,PPIB,CRISP2
MT-TE,MT-TY,TSACC,GAPDH,SMCP
UBB,NECAB1,MT-CYB,FTH1,HIST1H2AA
TUBB4A,LINC01681,MT-ATP8,UBB,TNP1
PPIB,MT-ND6,EGR2,MT-ND6,LINC00919
PCBP1,MTATP8P2,MT-RNR2,SH3BP5,LELP1
LINC01681,TMA7,MT-ND6,EEF1D,TSACC
LINC01921,PCBP1,LELP1,LRRC75A-AS1,HMGB4
MT-TW,HIST1H4I,MT-ND4L,AES,PRM2
SH3BP5,PPIB,EGR1,SRSF9,PRM1
TMA7,PRDX1,LAPTM4A,STUB1,TPPP2
MGAT2,SH3BP5,MTRNR2L1,ITPR3,C1orf194
ARL2BP,MT-TE,FATE1,COX20,ROPN1L
NECAB1,SRSF9,H3F3B,TUBA1C,GTSF1
SUN2,MT-ND4,TNP1,CAMK1,AKAP4
ITPR3,MYL6B,MT-CO1,SUN2,MTATP6P1
LRRC75A-AS1,TUBB4A,MT-ND5,MT-TW,MT-ND2
PRDX1,MT-ND2,MT-ND4,ARL2BP,EEF1A1
AES,MTCO1P25,SPTY2D1OS,MYL6B,NUPR2
DAAM2,LRRC75A-AS1,SMCP,ACO2,MT-CO2
SRSF9,MT-CO1,CRISP2,MT-ND4L,CMTM2
EMC6,AES,JUN,LINC01921,BOD1L2
STK24,MT-CO3,TCP11,EMC6,MTATP8P2
EEF1D,MT-CYB,LINC00919,MGAT2,CAPZA3
PCSK6,MT-TH,CYB5R1,PRDX1,MT-CO3
COX20,PRM2,RNASE1,C4orf48,MT-ATP6
ACO2,LINC02367,FOS,SNHG6,MT-ND4
CERS2,COX20,SERPINF1,DDT,TMSB10
EMC10,OST4,MT-ND3,LINC01681,CDKN3
ATP5ME,STK24,DAD1,EMC10,MT-ATP8
TUBA1C,MTRNR2L1,ITM2C,TUBB4B,MT-CYB
OST4,MGAT2,FTH1,TMA7,MT-ND4L
AGPAT1,PRM1,C10orf62,TMSB10,DYNLRB2
CAMK1,SPARC,DECR1,SLC25A29,DKKL1
TSACC,MT-TW,TMEM59,DAAM2,TMCO2
MT-TY,MT-ATP6,SOX4,MIF,TRIM36
TTYH2,ARL2BP,MLF1,STK24,GTSF1L
NT5C2,ATP5ME,CIRBP,MT-ATP8,LDHC
HMGCS2,ITPR3,ACTB,PRELID1,PHF7
NTMT1,CAP1,TPPP2,C11orf96,TMCO5A
CLCN2,TPT1,CMTM3,PCSK6,SPANXB1
NDUFS7,EEF1A1,COMT,MZT2B,SPTY2D1OS
PHB,EMC10,ECH1,IER3,MYL6B
SLC7A4,NT5C2,CYR61,APOA1,AC010255.3
ACAT2,ATP5MD,C1orf194,MT-TP,OAZ3
SLC25A29,EEF1D,NUPR2,NHP2,ROPN1B
TUBB4B,MT-TR,EPPIN,NTMT1,CABS1
IDH3A,PCSK6,NINJ1,MT-ND4,MRVI1-AS1
STUB1,FRZB,CDKN3,NDUFS7,TMEM31
SLC31A2,ACO2,ID2,OST4,PPP1R2C
TMEM179B,CERS2,AKAP4,CLCN2,LINC00301
CALM3,USP22,SPINK2,PINK1,EEF1B2
NHP2,MIR202HG,RHOC,CERS2,C20orf141
PDIA6,SUN2,CFL1,MT-ND5,LINC01191
JPX,MT-TT,GSG1,ARHGDIA,IZUMO4
PSMD7,EGR2,ADGRG1,SLC31A2,RNF151
NUMA1,AZGP1,DYNLRB2,RASD1,TEX38
PRELID1,DAAM2,CD151,GAS6,CDIPT-AS1
ARHGDIA,TUBA1C,MYO1B,SDR39U1,MTCO1P25
MT-ND1,MT-TP,PHF7,HSF1,IQCF1
MYL6B,NHP2,CMTM2,NECAB1,COX8C
BUD31,EMC6,MTATP8P2,REXO1,FRZB
GSTM3,LELP1,CAPZA3,EGR2,SLC25A6
CTSV,MT-CO2,ATP6V0B,TPT1,MT-CO1
RAB1B,CTSA,ROPN1L,MT-ATP6,PGK2
ENTPD6,HMGB4,TEX264,PHB,SPANXN3
C11orf96,MT-TL2,VKORC1,SYNE2,TIMD4
TF,AKAP12,SYPL1,ID2,TCP10L
DDT,CLDN11,MYL9,ENTPD6,MTRNR2L1
AP2A1,INHBB,BOD1L2,ATXN2L,SPATA42
CAP1,C10orf62,CXCL2,RAB1B,CCDC196
MT-ND3,C11orf96,OAZ3,CST3,CT83
SNHG5,NUMA1,CDIPT-AS1,NUMA1,TPT1
CALR,MRO,MYL12A,MT-ND2,SPATA3
EMILIN3,SNHG16,ERG28,CCDC85B,VSIG1
USP22,PAIP2,CSNK2B,JPX,GSG1
