panel_celltype,group,gene,source_column
EC,AZFc_Del,45726,EC-AZFc
EC,AZFc_Del,45904,EC-AZFc
EC,AZFc_Del,45912,EC-AZFc
EC,AZFc_Del,AAMDC,EC-AZFc
EC,AZFc_Del,AASDH,EC-AZFc
EC,AZFc_Del,ABCC4,EC-AZFc
EC,AZFc_Del,ABCD4,EC-AZFc
EC,AZFc_Del,ABHD1,EC-AZFc
EC,AZFc_Del,ABHD2,EC-AZFc
EC,AZFc_Del,ABI1,EC-AZFc
EC,AZFc_Del,AC004797.1,EC-AZFc
EC,AZFc_Del,AC005912.1,EC-AZFc
EC,AZFc_Del,AC006012.1,EC-AZFc
EC,AZFc_Del,AC007681.1,EC-AZFc
EC,AZFc_Del,AC007969.1,EC-AZFc
EC,AZFc_Del,AC008267.5,EC-AZFc
EC,AZFc_Del,AC010255.3,EC-AZFc
EC,AZFc_Del,AC010325.1,EC-AZFc
EC,AZFc_Del,AC018558.1,EC-AZFc
EC,AZFc_Del,AC025524.2,EC-AZFc
EC,AZFc_Del,AC034236.1,EC-AZFc
EC,AZFc_Del,AC073861.1,EC-AZFc
EC,AZFc_Del,AC092070.2,EC-AZFc
EC,AZFc_Del,AC092666.1,EC-AZFc
EC,AZFc_Del,AC093752.1,EC-AZFc
EC,AZFc_Del,AC097375.2,EC-AZFc
EC,AZFc_Del,AC097375.3,EC-AZFc
EC,AZFc_Del,AC097636.1,EC-AZFc
EC,AZFc_Del,AC099560.2,EC-AZFc
EC,AZFc_Del,AC103591.3,EC-AZFc
EC,AZFc_Del,AC104971.2,EC-AZFc
EC,AZFc_Del,AC109326.1,EC-AZFc
EC,AZFc_Del,AC109635.4,EC-AZFc
EC,AZFc_Del,AC113935.1,EC-AZFc
EC,AZFc_Del,AC116533.1,EC-AZFc
EC,AZFc_Del,AC135977.1,EC-AZFc
EC,AZFc_Del,AC140479.4,EC-AZFc
EC,AZFc_Del,AC209154.2,EC-AZFc
EC,AZFc_Del,AC239803.2,EC-AZFc
EC,AZFc_Del,ACAP1,EC-AZFc
EC,AZFc_Del,ACAT2,EC-AZFc
EC,AZFc_Del,ACKR1,EC-AZFc
EC,AZFc_Del,ACP1,EC-AZFc
EC,AZFc_Del,ACRBP,EC-AZFc
EC,AZFc_Del,ACRV1,EC-AZFc
EC,AZFc_Del,ACSBG2,EC-AZFc
EC,AZFc_Del,ACTA2,EC-AZFc
EC,AZFc_Del,ACTG1,EC-AZFc
EC,AZFc_Del,ACTL7A,EC-AZFc
EC,AZFc_Del,ACTL9,EC-AZFc
EC,AZFc_Del,ACTN1,EC-AZFc
EC,AZFc_Del,ACTRT2,EC-AZFc
EC,AZFc_Del,ACTRT3,EC-AZFc
EC,AZFc_Del,ADAD1,EC-AZFc
EC,AZFc_Del,ADAMTS9,EC-AZFc
EC,AZFc_Del,ADGRA2,EC-AZFc
EC,AZFc_Del,ADGRF5,EC-AZFc
EC,AZFc_Del,ADGRG1,EC-AZFc
EC,AZFc_Del,ADGRL4,EC-AZFc
EC,AZFc_Del,ADIG,EC-AZFc
EC,AZFc_Del,ADIRF,EC-AZFc
EC,AZFc_Del,AES,EC-AZFc
EC,AZFc_Del,AFAP1,EC-AZFc
EC,AZFc_Del,AFAP1L1,EC-AZFc
EC,AZFc_Del,AFG3L2,EC-AZFc
EC,AZFc_Del,AHNAK,EC-AZFc
EC,AZFc_Del,AIF1L,EC-AZFc
EC,AZFc_Del,AKAP1,EC-AZFc
EC,AZFc_Del,AKAP14,EC-AZFc
EC,AZFc_Del,AKAP3,EC-AZFc
EC,AZFc_Del,AKAP4,EC-AZFc
EC,AZFc_Del,AL136979.1,EC-AZFc
EC,AZFc_Del,AL157756.1,EC-AZFc
EC,AZFc_Del,AL355357.1,EC-AZFc
EC,AZFc_Del,AL359853.3,EC-AZFc
EC,AZFc_Del,AL450405.1,EC-AZFc
EC,AZFc_Del,AL596275.2,EC-AZFc
EC,AZFc_Del,AL672043.1,EC-AZFc
EC,AZFc_Del,ALDH1A1,EC-AZFc
EC,AZFc_Del,ALKBH7,EC-AZFc
EC,AZFc_Del,AMZ2,EC-AZFc
EC,AZFc_Del,ANAPC7,EC-AZFc
EC,AZFc_Del,ANKEF1,EC-AZFc
EC,AZFc_Del,ANKMY1,EC-AZFc
EC,AZFc_Del,ANKRD26,EC-AZFc
EC,AZFc_Del,ANKRD29,EC-AZFc
EC,AZFc_Del,ANKRD7,EC-AZFc
EC,AZFc_Del,ANXA1,EC-AZFc
EC,AZFc_Del,AP1G1,EC-AZFc
EC,AZFc_Del,AP3M2,EC-AZFc
EC,AZFc_Del,APH1B,EC-AZFc
EC,AZFc_Del,APLNR,EC-AZFc
EC,AZFc_Del,APOBEC3C,EC-AZFc
EC,AZFc_Del,APOD,EC-AZFc
EC,AZFc_Del,APP,EC-AZFc
EC,AZFc_Del,AQP1,EC-AZFc
EC,AZFc_Del,AQP5,EC-AZFc
EC,AZFc_Del,ARHGAP18,EC-AZFc
EC,AZFc_Del,ARHGAP26,EC-AZFc
EC,AZFc_Del,ARHGAP28,EC-AZFc
EC,AZFc_Del,ARHGAP31,EC-AZFc
EC,AZFc_Del,ARHGDIA,EC-AZFc
EC,AZFc_Del,ARID2,EC-AZFc
EC,AZFc_Del,ARL2BP,EC-AZFc
EC,AZFc_Del,ARL4A,EC-AZFc
EC,AZFc_Del,ARMC12,EC-AZFc
EC,AZFc_Del,ARPC2,EC-AZFc
EC,AZFc_Del,ARPC5L,EC-AZFc
EC,AZFc_Del,ASAP1,EC-AZFc
EC,AZFc_Del,ASAP2,EC-AZFc
EC,AZFc_Del,ASB17,EC-AZFc
EC,AZFc_Del,ASB8,EC-AZFc
EC,AZFc_Del,ASRGL1,EC-AZFc
EC,AZFc_Del,ASS1,EC-AZFc
EC,AZFc_Del,ATAD1,EC-AZFc
EC,AZFc_Del,ATP11C,EC-AZFc
EC,AZFc_Del,ATP1B3,EC-AZFc
EC,AZFc_Del,ATP5MC2,EC-AZFc
EC,AZFc_Del,ATP5MD,EC-AZFc
EC,AZFc_Del,ATP5ME,EC-AZFc
EC,AZFc_Del,ATP5MF,EC-AZFc
EC,AZFc_Del,ATP5MG,EC-AZFc
EC,AZFc_Del,ATP5MPL,EC-AZFc
EC,AZFc_Del,ATP5PB,EC-AZFc
EC,AZFc_Del,ATP5PD,EC-AZFc
EC,AZFc_Del,ATP5PF,EC-AZFc
EC,AZFc_Del,ATP5PO,EC-AZFc
EC,AZFc_Del,ATP6V1D,EC-AZFc
EC,AZFc_Del,ATP8B2,EC-AZFc
EC,AZFc_Del,ATXN2L,EC-AZFc
EC,AZFc_Del,AURKAIP1,EC-AZFc
EC,AZFc_Del,B2M,EC-AZFc
