panel,gene_set,gene_index,gene
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,1,COL1A2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,2,ELOB
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,3,EGR1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,4,BST2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,5,FN1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,6,EIF4G3
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,7,FOS
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,8,CCL4
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,9,EIF2AK2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,10,EIF4G2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,11,FBXW11
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,12,CCL2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,13,APP
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,14,FAAP20
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,15,ELOC
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,16,CANX
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,17,CXCL8
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,18,EIF2S1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,19,DHX9
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,20,EIF2S2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,21,FLNA
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,22,EIF4A2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,23,AKT3
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,24,GHR
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,25,FGF2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,26,BTRC
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,27,CENPX
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,28,EIF4E3
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,29,CSF1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,30,EIF4E2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,31,BCL2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,32,CBL
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,33,CCL19
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,34,CREB1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,35,CXCL2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,36,CXCL1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,37,ADAR
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,38,ATF1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,39,FANCC
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,40,CCL3
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,41,BIRC5
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,42,FANCB
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,43,CCND1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,44,EIF2S3
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,45,EDA
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,46,BCL2L11
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,47,FANCM
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,48,CXCL10
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,49,EDARADD
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,50,GBP1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,51,FCER2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,52,BECN1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,53,CUL1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,54,GAB2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,55,ALOX15
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,56,DUSP4
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,57,BATF
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,58,CNTFR
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,59,CTSG
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,60,EDAR
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,61,CRLF1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,62,GRAP2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,63,ARIH1
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,64,FLT3LG
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,65,BOLA2B
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,66,CD27
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,67,CNTF
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,68,CSF2
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,69,CSF3
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,70,FANCA
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,71,FANCL
