gene,group,value
UBE2E1,Ctrl,-0.840410000723743
UBE2E1,iNOA_B,-1.25905290071252
UBE2E1,iNOA_S,-0.259308661933348
UBE2E1,OA,0.0781050186546234
UBE2E1,AZFc_Del,1.27154970369726
UBE2E1,KS,1.00911684101773
UBB,Ctrl,-0.970477746130749
UBB,iNOA_B,-0.895185009273303
UBB,iNOA_S,-0.861782413285636
UBB,OA,0.77398651891368
UBB,AZFc_Del,0.917179614828024
UBB,KS,1.03627903494798
FZR1,Ctrl,-1.156622044563
FZR1,iNOA_B,-0.773740264293871
FZR1,iNOA_S,-0.725880041760229
FZR1,OA,0.709926634249016
FZR1,AZFc_Del,1.23638908211907
FZR1,KS,0.709926634249016
CEBPB,Ctrl,-0.1858448511789
CEBPB,iNOA_B,-0.623776282669774
CEBPB,iNOA_S,-0.406650614955811
CEBPB,OA,-0.678977723614002
CEBPB,AZFc_Del,-0.0901623535422388
CEBPB,KS,1.98541182596073
JUN,Ctrl,-0.498357082223243
JUN,iNOA_B,-0.358277895839815
JUN,iNOA_S,-0.215518933716879
JUN,OA,-0.603274362691294
JUN,AZFc_Del,-0.34747758755634
JUN,KS,2.02290586202757
IL6,Ctrl,-0.4656903154238
IL6,iNOA_B,-0.530369525899328
IL6,iNOA_S,-0.2328451577119
IL6,OA,-0.426882789138483
IL6,AZFc_Del,-0.375139420758061
IL6,KS,2.03092720893157
MAPK3,Ctrl,-0.286080931630833
MAPK3,iNOA_B,-0.464748576664215
MAPK3,iNOA_S,-0.152080197855796
MAPK3,OA,-0.81570287940836
MAPK3,AZFc_Del,-0.26693796966297
MAPK3,KS,1.98555055522217
FOS,Ctrl,-0.524238836358842
FOS,iNOA_B,-0.437758028735767
FOS,iNOA_S,0.0862911567291652
FOS,OA,-0.785081758136944
FOS,AZFc_Del,-0.29446948412142
FOS,KS,1.95525695062381
CDK4,Ctrl,-0.771718306862209
CDK4,iNOA_B,-0.763180550547815
CDK4,iNOA_S,-0.726183606518772
CDK4,OA,0.0877491621201651
CDK4,AZFc_Del,0.406492064524224
CDK4,KS,1.76684123728441
RELA,Ctrl,-0.310132981492221
RELA,iNOA_B,-1.54192876713738
RELA,iNOA_S,-0.0567849121042096
RELA,OA,-0.0917294733991078
RELA,AZFc_Del,0.493591928290437
RELA,KS,1.50698420584248
CDKN1A,Ctrl,-0.175416894836435
CDKN1A,iNOA_B,-1.41149408403271
CDKN1A,iNOA_S,-0.209072461869006
CDKN1A,OA,-0.331456341987449
CDKN1A,AZFc_Del,0.534409609850533
CDKN1A,KS,1.59303017287506
