gene,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
UBE2E1,-0.840410000723743,-1.25905290071252,-0.259308661933348,0.0781050186546234,1.27154970369726,1.00911684101773
UBB,-0.970477746130749,-0.895185009273303,-0.861782413285636,0.77398651891368,0.917179614828024,1.03627903494798
FZR1,-1.156622044563,-0.773740264293871,-0.725880041760229,0.709926634249016,1.23638908211907,0.709926634249016
CEBPB,-0.1858448511789,-0.623776282669774,-0.406650614955811,-0.678977723614002,-0.0901623535422388,1.98541182596073
JUN,-0.498357082223243,-0.358277895839815,-0.215518933716879,-0.603274362691294,-0.34747758755634,2.02290586202757
IL6,-0.4656903154238,-0.530369525899328,-0.2328451577119,-0.426882789138483,-0.375139420758061,2.03092720893157
MAPK3,-0.286080931630833,-0.464748576664215,-0.152080197855796,-0.81570287940836,-0.26693796966297,1.98555055522217
FOS,-0.524238836358842,-0.437758028735767,0.0862911567291652,-0.785081758136944,-0.29446948412142,1.95525695062381
CDK4,-0.771718306862209,-0.763180550547815,-0.726183606518772,0.0877491621201651,0.406492064524224,1.76684123728441
RELA,-0.310132981492221,-1.54192876713738,-0.0567849121042096,-0.0917294733991078,0.493591928290437,1.50698420584248
CDKN1A,-0.175416894836435,-1.41149408403271,-0.209072461869006,-0.331456341987449,0.534409609850533,1.59303017287506
