Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,group
Oxidative_phosphorylation,182,0.573876926,2.317649048,1.00E-10,2.50E-09,1.74E-09,1239,"tags=37%, list=14%, signal=33%",AZFc_Del
Spermatogenesis,87,-0.734649162,-2.622265856,1.00E-10,2.50E-09,1.74E-09,1133,"tags=44%, list=13%, signal=39%",AZFc_Del
Epithelial_mesenchymal_transition,100,0.546855032,2.047594699,4.30E-06,7.17E-05,4.98E-05,1071,"tags=38%, list=12%, signal=34%",AZFc_Del
P53_pathway,111,0.47788609,1.819874005,0.000156901,0.001961269,0.001362566,1578,"tags=32%, list=18%, signal=26%",AZFc_Del
Tnfa_signaling_via_nfkb,110,0.475495504,1.808599667,0.000369172,0.003083163,0.002141987,1524,"tags=40%, list=17%, signal=34%",AZFc_Del
Hypoxia,111,0.462442101,1.761060586,0.00036998,0.003083163,0.002141987,1564,"tags=34%, list=18%, signal=29%",AZFc_Del
Fatty_acid_metabolism,106,0.472404577,1.788096126,0.000696073,0.004971946,0.003454194,1117,"tags=25%, list=13%, signal=23%",AZFc_Del
Myogenesis,95,0.458314857,1.695267227,0.001632801,0.010205006,0.007089794,1031,"tags=28%, list=12%, signal=25%",AZFc_Del
Myc_targets_v1,167,0.359215789,1.440141343,0.009523005,0.051266543,0.035616756,1625,"tags=29%, list=18%, signal=24%",AZFc_Del
Notch_signaling,19,0.647884087,1.751962426,0.010557801,0.051266543,0.035616756,1600,"tags=42%, list=18%, signal=35%",AZFc_Del
Spermatogenesis,87,-0.703628542,-2.487250462,1.00E-10,5.00E-09,4.42E-09,696,"tags=31%, list=8%, signal=29%",iNOA_B
Epithelial_mesenchymal_transition,91,0.451405137,1.972362664,1.32E-05,0.000330868,0.000292557,1131,"tags=38%, list=13%, signal=34%",iNOA_B
Mitotic_spindle,149,0.333291588,1.570028386,0.000872255,0.014537589,0.012854289,1763,"tags=35%, list=20%, signal=28%",iNOA_B
Allograft_rejection,69,-0.481937652,-1.640822657,0.006057654,0.075720669,0.066953013,1232,"tags=28%, list=14%, signal=24%",iNOA_B
Fatty_acid_metabolism,99,-0.435655781,-1.570065403,0.012347148,0.123471482,0.109174784,1743,"tags=38%, list=20%, signal=31%",iNOA_B
Mtorc1_signaling,144,-0.399668769,-1.495429586,0.017534776,0.146123137,0.129203616,2193,"tags=43%, list=25%, signal=33%",iNOA_B
Reactive_oxygen_species_pathway,36,-0.525858997,-1.607541115,0.023894842,0.170677444,0.150914793,1699,"tags=42%, list=20%, signal=34%",iNOA_B
Tnfa_signaling_via_nfkb,105,0.294104142,1.314657576,0.029819383,0.186371142,0.164791326,1507,"tags=33%, list=17%, signal=28%",iNOA_B
Tgf_beta_signaling,39,-0.459908461,-1.432167098,0.068775791,0.382087727,0.33784599,766,"tags=28%, list=9%, signal=26%",iNOA_B
Coagulation,54,-0.419461919,-1.382546757,0.076612903,0.383064516,0.338709677,760,"tags=26%, list=9%, signal=24%",iNOA_B
Spermatogenesis,87,-0.790012769,-2.517417852,1.00E-10,2.84E-09,1.67E-09,1241,"tags=56%, list=13%, signal=49%",iNOA_S
Epithelial_mesenchymal_transition,116,0.587601261,2.388008288,1.13E-10,2.84E-09,1.67E-09,582,"tags=36%, list=6%, signal=34%",iNOA_S
Interferon_alpha_response,78,0.5899609,2.19622824,7.68E-07,1.28E-05,7.55E-06,1365,"tags=45%, list=15%, signal=39%",iNOA_S
Myogenesis,98,0.515713183,2.039919896,2.15E-05,0.000268364,0.000158193,813,"tags=32%, list=9%, signal=29%",iNOA_S
Apoptosis,117,0.448544996,1.821993753,5.59E-05,0.000489573,0.00028859,955,"tags=25%, list=10%, signal=23%",iNOA_S
Hypoxia,121,0.441052758,1.789907811,5.87E-05,0.000489573,0.00028859,903,"tags=26%, list=10%, signal=24%",iNOA_S
Interferon_gamma_response,141,0.431210662,1.785853692,8.69E-05,0.000620885,0.000365995,1164,"tags=31%, list=12%, signal=28%",iNOA_S
Uv_response_dn,104,0.468352917,1.872950597,0.000204707,0.001279418,0.000754183,1541,"tags=44%, list=16%, signal=37%",iNOA_S
Bile_acid_metabolism,49,0.561516395,1.934422512,0.000232113,0.001289519,0.000760137,1123,"tags=31%, list=12%, signal=27%",iNOA_S
