Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,group
HALLMARK_MYOGENESIS,195,0.711267602,1.849760107,7.26E-07,3.63E-05,3.06E-05,2287,"tags=26%, list=7%, signal=24%",AZFc_Del
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,197,0.642362133,1.670824944,0.000144874,0.003352744,0.002823363,2287,"tags=32%, list=7%, signal=30%",AZFc_Del
HALLMARK_KRAS_SIGNALING_DN,166,0.65209467,1.665629507,0.000201165,0.003352744,0.002823363,4145,"tags=19%, list=13%, signal=17%",AZFc_Del
HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,0.610392122,1.587570116,0.001002964,0.012537053,0.010557518,1968,"tags=33%, list=6%, signal=31%",AZFc_Del
HALLMARK_SPERMATOGENESIS,131,-0.599323174,-1.608241238,0.001319381,0.013193808,0.011110575,3466,"tags=31%, list=11%, signal=27%",AZFc_Del
HALLMARK_UV_RESPONSE_DN,140,0.625990091,1.578653575,0.002483702,0.02069752,0.017429491,3335,"tags=44%, list=11%, signal=39%",AZFc_Del
HALLMARK_COAGULATION,126,0.623260967,1.554357403,0.00431506,0.030821854,0.025955246,1530,"tags=26%, list=5%, signal=25%",AZFc_Del
HALLMARK_ESTROGEN_RESPONSE_EARLY,195,0.536534643,1.395340343,0.017094885,0.106843031,0.089973079,4055,"tags=38%, list=13%, signal=33%",AZFc_Del
HALLMARK_XENOBIOTIC_METABOLISM,187,0.518918835,1.346423141,0.029717118,0.165095101,0.139027454,3694,"tags=28%, list=12%, signal=25%",AZFc_Del
HALLMARK_HYPOXIA,197,0.507808134,1.320841397,0.042521994,0.212609971,0.179039975,3356,"tags=33%, list=11%, signal=30%",AZFc_Del
HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,0.661927762,1.81523716,1.96E-07,9.81E-06,5.58E-06,2651,"tags=42%, list=9%, signal=39%",iNOA_B
HALLMARK_OXIDATIVE_PHOSPHORYLATION,190,-0.653550291,-1.772508855,7.49E-06,0.000187158,0.000106385,2668,"tags=47%, list=9%, signal=43%",iNOA_B
HALLMARK_G2M_CHECKPOINT,193,0.611714976,1.664575669,1.78E-05,0.000297483,0.000169095,3622,"tags=42%, list=12%, signal=38%",iNOA_B
HALLMARK_SPERMATOGENESIS,131,-0.655698994,-1.711751011,0.000113608,0.001312753,0.000746196,3478,"tags=31%, list=11%, signal=28%",iNOA_B
HALLMARK_KRAS_SIGNALING_DN,166,0.599554681,1.602408955,0.000131275,0.001312753,0.000746196,4689,"tags=21%, list=15%, signal=18%",iNOA_B
HALLMARK_MITOTIC_SPINDLE,198,0.574030673,1.574192636,0.000279154,0.002326286,0.00132231,4924,"tags=52%, list=16%, signal=44%",iNOA_B
HALLMARK_ADIPOGENESIS,195,-0.584936387,-1.588509666,0.000423321,0.003023721,0.001718747,2674,"tags=37%, list=9%, signal=34%",iNOA_B
HALLMARK_FATTY_ACID_METABOLISM,150,-0.602827359,-1.609406239,0.000796938,0.004980865,0.002831228,3316,"tags=39%, list=11%, signal=35%",iNOA_B
HALLMARK_MTORC1_SIGNALING,197,-0.546589135,-1.483628236,0.00271301,0.013798151,0.00784316,3782,"tags=47%, list=12%, signal=41%",iNOA_B
HALLMARK_E2F_TARGETS,198,0.52635801,1.443457539,0.002929829,0.013798151,0.00784316,4197,"tags=43%, list=14%, signal=37%",iNOA_B
HALLMARK_OXIDATIVE_PHOSPHORYLATION,190,-0.737488288,-1.66876851,5.36E-07,2.24E-05,1.75E-05,3249,"tags=57%, list=11%, signal=52%",iNOA_S
HALLMARK_MYC_TARGETS_V1,182,-0.749586869,-1.696306929,8.98E-07,2.24E-05,1.75E-05,3045,"tags=58%, list=10%, signal=52%",iNOA_S
HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,0.735134062,1.864908581,4.06E-06,6.76E-05,5.26E-05,1006,"tags=39%, list=3%, signal=38%",iNOA_S
HALLMARK_SPERMATOGENESIS,131,-0.765876477,-1.694833539,6.40E-06,8.00E-05,6.23E-05,3335,"tags=40%, list=11%, signal=36%",iNOA_S
HALLMARK_APICAL_JUNCTION,192,-0.622020741,-1.405707505,0.011911969,0.08556351,0.066649471,2886,"tags=24%, list=9%, signal=22%",iNOA_S
HALLMARK_MTORC1_SIGNALING,197,-0.608598584,-1.377809914,0.012038351,0.08556351,0.066649471,3534,"tags=48%, list=11%, signal=43%",iNOA_S
HALLMARK_ADIPOGENESIS,195,-0.601973786,-1.362868567,0.013381552,0.08556351,0.066649471,3716,"tags=44%, list=12%, signal=39%",iNOA_S
HALLMARK_PROTEIN_SECRETION,93,-0.686794153,-1.479424113,0.013690162,0.08556351,0.066649471,4116,"tags=52%, list=13%, signal=45%",iNOA_S
HALLMARK_PI3K_AKT_MTOR_SIGNALING,100,-0.651538402,-1.415821942,0.01731645,0.089472602,0.069694448,3457,"tags=34%, list=11%, signal=30%",iNOA_S
HALLMARK_MITOTIC_SPINDLE,198,-0.593405204,-1.343154099,0.01789452,0.089472602,0.069694448,3656,"tags=38%, list=12%, signal=34%",iNOA_S
HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,0.815541484,2.127280643,1.00E-10,5.00E-09,3.58E-09,1448,"tags=48%, list=5%, signal=46%",KS
HALLMARK_SPERMATOGENESIS,131,-0.721262905,-1.747435469,1.16E-05,0.000288806,0.000206724,4658,"tags=46%, list=15%, signal=39%",KS
HALLMARK_PROTEIN_SECRETION,93,-0.752699251,-1.753226715,5.69E-05,0.000949136,0.000679382,2954,"tags=57%, list=10%, signal=52%",KS
HALLMARK_MYOGENESIS,195,0.621067429,1.616592109,0.000226134,0.002779321,0.001989409,3298,"tags=31%, list=11%, signal=28%",KS
HALLMARK_HYPOXIA,197,0.625645435,1.634948504,0.000277932,0.002779321,0.001989409,2699,"tags=34%, list=9%, signal=31%",KS
HALLMARK_UV_RESPONSE_UP,152,0.644325854,1.629996903,0.000647623,0.005396855,0.003863012,1705,"tags=26%, list=6%, signal=25%",KS
HALLMARK_ALLOGRAFT_REJECTION,182,0.612539784,1.592395908,0.00077727,0.005551931,0.003974014,1352,"tags=31%, list=4%, signal=30%",KS
HALLMARK_P53_PATHWAY,191,0.564763967,1.472803007,0.002702898,0.01689311,0.012091911,1563,"tags=22%, list=5%, signal=21%",KS
HALLMARK_ANGIOGENESIS,34,-0.787213763,-1.559013985,0.004393465,0.023864288,0.017081806,3011,"tags=35%, list=10%, signal=32%",KS
HALLMARK_INTERFERON_GAMMA_RESPONSE,197,0.565811223,1.478588608,0.004772858,0.023864288,0.017081806,2208,"tags=38%, list=7%, signal=36%",KS
HALLMARK_G2M_CHECKPOINT,193,0.595309713,1.571902313,0.000131499,0.00657494,0.006228891,3446,"tags=46%, list=11%, signal=41%",OA
HALLMARK_E2F_TARGETS,198,0.557585492,1.475948344,0.00040123,0.010030759,0.009502824,3903,"tags=48%, list=13%, signal=42%",OA
HALLMARK_KRAS_SIGNALING_DN,166,0.549972473,1.42594344,0.008903523,0.148392048,0.14058194,2260,"tags=9%, list=7%, signal=8%",OA
HALLMARK_IL6_JAK_STAT3_SIGNALING,84,-0.595984634,-1.402899048,0.014280832,0.178510398,0.169115114,1745,"tags=37%, list=6%, signal=35%",OA
HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,0.469709249,1.243336845,0.025150934,0.251509339,0.238272005,1972,"tags=26%, list=6%, signal=24%",OA
HALLMARK_ALLOGRAFT_REJECTION,182,-0.479978574,-1.237942794,0.058601134,0.488342785,0.462640533,3151,"tags=29%, list=10%, signal=26%",OA
HALLMARK_OXIDATIVE_PHOSPHORYLATION,190,-0.466830274,-1.21142177,0.069811321,0.498652291,0.472407434,3844,"tags=46%, list=12%, signal=41%",OA
HALLMARK_MITOTIC_SPINDLE,198,0.446518835,1.181951009,0.097613883,0.610086768,0.577976938,3446,"tags=36%, list=11%, signal=32%",OA
HALLMARK_HEME_METABOLISM,185,0.441973289,1.164733819,0.117521368,0.638332256,0.604735821,2758,"tags=24%, list=9%, signal=22%",OA
HALLMARK_ANGIOGENESIS,34,-0.615414074,-1.24450719,0.140035907,0.638332256,0.604735821,732,"tags=21%, list=2%, signal=20%",OA
