Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,group
HALLMARK_SPERMATOGENESIS,76,-0.658844563,-2.498854209,3.28E-08,1.64E-06,1.38E-06,1367,"tags=46%, list=16%, signal=39%",AZFc_Del
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,123,0.525390494,1.791726124,9.59E-05,0.00239719,0.002018687,709,"tags=24%, list=8%, signal=23%",AZFc_Del
HALLMARK_MYOGENESIS,98,0.486305397,1.633271405,0.004488419,0.074806989,0.062995359,478,"tags=20%, list=6%, signal=20%",AZFc_Del
HALLMARK_MTORC1_SIGNALING,168,-0.326766143,-1.413015392,0.012408227,0.155102839,0.130612917,1179,"tags=32%, list=14%, signal=28%",AZFc_Del
HALLMARK_UV_RESPONSE_DN,108,0.437103353,1.472523558,0.015618345,0.156183451,0.131522906,2236,"tags=48%, list=26%, signal=36%",AZFc_Del
HALLMARK_ANGIOGENESIS,17,0.655292384,1.60564598,0.019984027,0.166533559,0.140238787,709,"tags=47%, list=8%, signal=43%",AZFc_Del
HALLMARK_XENOBIOTIC_METABOLISM,112,-0.340765515,-1.385714837,0.028901243,0.20643745,0.173842063,923,"tags=21%, list=11%, signal=19%",AZFc_Del
HALLMARK_ADIPOGENESIS,160,-0.315243445,-1.343001156,0.033862579,0.211641117,0.178224098,926,"tags=22%, list=11%, signal=20%",AZFc_Del
HALLMARK_COAGULATION,67,0.457681394,1.463860478,0.042471042,0.235950236,0.198694936,1192,"tags=33%, list=14%, signal=29%",AZFc_Del
HALLMARK_FATTY_ACID_METABOLISM,120,-0.33580918,-1.391572863,0.048246545,0.241232724,0.203143346,672,"tags=21%, list=8%, signal=19%",AZFc_Del
HALLMARK_FATTY_ACID_METABOLISM,112,-0.649936601,-2.472042834,1.00E-10,5.00E-09,3.26E-09,1187,"tags=46%, list=15%, signal=39%",iNOA_B
HALLMARK_OXIDATIVE_PHOSPHORYLATION,183,-0.490584444,-2.02070284,3.71E-07,7.30E-06,4.77E-06,1007,"tags=33%, list=12%, signal=30%",iNOA_B
HALLMARK_MITOTIC_SPINDLE,142,0.495768643,1.983973104,4.38E-07,7.30E-06,4.77E-06,1986,"tags=41%, list=24%, signal=31%",iNOA_B
HALLMARK_SPERMATOGENESIS,75,-0.602145677,-2.150382926,9.46E-07,1.18E-05,7.72E-06,1604,"tags=40%, list=20%, signal=32%",iNOA_B
HALLMARK_MTORC1_SIGNALING,163,-0.478744659,-1.948366184,2.53E-06,2.53E-05,1.65E-05,1824,"tags=47%, list=22%, signal=37%",iNOA_B
HALLMARK_XENOBIOTIC_METABOLISM,108,-0.529299726,-1.985187631,5.86E-06,4.88E-05,3.19E-05,1215,"tags=39%, list=15%, signal=34%",iNOA_B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,118,0.499289434,1.953300442,7.94E-06,5.67E-05,3.70E-05,809,"tags=31%, list=10%, signal=28%",iNOA_B
