Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,group
HALLMARK_SPERMATOGENESIS,99,-0.719041348,-2.671600171,1.00E-10,5.00E-09,2.63E-09,1158,"tags=42%, list=12%, signal=38%",AZFc_Del
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,135,0.532911803,2.097145172,3.26E-07,8.15E-06,4.29E-06,967,"tags=27%, list=10%, signal=25%",AZFc_Del
HALLMARK_OXIDATIVE_PHOSPHORYLATION,185,0.466775833,1.922685979,1.82E-06,3.03E-05,1.59E-05,2102,"tags=39%, list=21%, signal=31%",AZFc_Del
HALLMARK_XENOBIOTIC_METABOLISM,106,0.518994639,1.973002304,6.96E-06,8.70E-05,4.58E-05,1601,"tags=36%, list=16%, signal=30%",AZFc_Del
HALLMARK_ESTROGEN_RESPONSE_LATE,112,0.482423222,1.842515194,8.92E-05,0.000825356,0.000434398,1476,"tags=36%, list=15%, signal=31%",AZFc_Del
HALLMARK_GLYCOLYSIS,129,0.470248428,1.844485469,9.90E-05,0.000825356,0.000434398,2818,"tags=50%, list=28%, signal=37%",AZFc_Del
HALLMARK_INTERFERON_ALPHA_RESPONSE,64,0.54340237,1.885733762,0.000350409,0.002502924,0.001317328,2302,"tags=47%, list=23%, signal=36%",AZFc_Del
HALLMARK_ESTROGEN_RESPONSE_EARLY,110,0.468990493,1.785905297,0.000635087,0.003969292,0.002089101,1397,"tags=35%, list=14%, signal=30%",AZFc_Del
HALLMARK_PEROXISOME,68,0.506704576,1.793315703,0.001099799,0.006109996,0.003215787,2435,"tags=41%, list=24%, signal=31%",AZFc_Del
HALLMARK_P53_PATHWAY,127,0.420143756,1.637613404,0.002284142,0.01076641,0.005666532,1795,"tags=31%, list=18%, signal=26%",AZFc_Del
HALLMARK_SPERMATOGENESIS,95,-0.75428867,-2.562264608,1.00E-10,5.00E-09,4.11E-09,1182,"tags=48%, list=13%, signal=42%",iNOA_B
HALLMARK_TNFA_SIGNALING_VIA_NFKB,94,0.41008063,1.785307054,0.000181397,0.00453493,0.003723416,1383,"tags=29%, list=16%, signal=24%",iNOA_B
HALLMARK_P53_PATHWAY,104,0.381100181,1.689155802,0.001000283,0.016671375,0.013688077,719,"tags=19%, list=8%, signal=18%",iNOA_B
HALLMARK_COAGULATION,55,-0.555841141,-1.730657734,0.004635393,0.047711796,0.039173896,1382,"tags=44%, list=16%, signal=37%",iNOA_B
HALLMARK_NOTCH_SIGNALING,15,0.628119128,1.756709483,0.00522556,0.047711796,0.039173896,1306,"tags=47%, list=15%, signal=40%",iNOA_B
HALLMARK_E2F_TARGETS,137,0.302818139,1.406047615,0.006459294,0.047711796,0.039173896,2212,"tags=45%, list=25%, signal=34%",iNOA_B
HALLMARK_OXIDATIVE_PHOSPHORYLATION,182,0.28760124,1.419490745,0.007304207,0.047711796,0.039173896,901,"tags=22%, list=10%, signal=20%",iNOA_B
HALLMARK_KRAS_SIGNALING_UP,78,0.358457535,1.491425487,0.007633887,0.047711796,0.039173896,1885,"tags=42%, list=21%, signal=34%",iNOA_B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,124,0.288051769,1.329151234,0.024535811,0.136310062,0.111917735,1332,"tags=25%, list=15%, signal=22%",iNOA_B
HALLMARK_HEDGEHOG_SIGNALING,16,0.535737622,1.524436787,0.036778449,0.183892243,0.15098521,1902,"tags=56%, list=22%, signal=44%",iNOA_B
