Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,group
HALLMARK_MYC_TARGETS_V1,172,0.606243105,1.821357132,1.00E-10,2.50E-09,1.53E-09,2056,"tags=49%, list=20%, signal=40%",AZFc_Del
HALLMARK_OXIDATIVE_PHOSPHORYLATION,185,0.61332495,1.854022403,1.00E-10,2.50E-09,1.53E-09,2176,"tags=51%, list=22%, signal=41%",AZFc_Del
HALLMARK_SPERMATOGENESIS,88,-0.6487591,-2.443595743,5.27E-09,8.79E-08,5.37E-08,906,"tags=42%, list=9%, signal=39%",AZFc_Del
HALLMARK_FATTY_ACID_METABOLISM,112,0.587680202,1.709304541,2.82E-06,3.53E-05,2.15E-05,2098,"tags=45%, list=21%, signal=36%",AZFc_Del
HALLMARK_MTORC1_SIGNALING,166,0.545264689,1.6322381,6.72E-06,6.72E-05,4.10E-05,1882,"tags=37%, list=19%, signal=30%",AZFc_Del
HALLMARK_ESTROGEN_RESPONSE_LATE,107,0.555076868,1.611973511,0.000102814,0.000856783,0.000523089,1790,"tags=41%, list=18%, signal=34%",AZFc_Del
HALLMARK_TNFA_SIGNALING_VIA_NFKB,124,0.53352299,1.570723394,0.000171264,0.001223314,0.000746866,1819,"tags=38%, list=18%, signal=31%",AZFc_Del
HALLMARK_UV_RESPONSE_UP,111,0.537544564,1.561565037,0.00031697,0.001981059,0.001209489,2338,"tags=41%, list=23%, signal=32%",AZFc_Del
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,90,0.54768213,1.577464544,0.000717292,0.003984954,0.002432919,1272,"tags=30%, list=13%, signal=26%",AZFc_Del
HALLMARK_PEROXISOME,75,0.578399486,1.635584399,0.000807521,0.004037604,0.002465064,1715,"tags=37%, list=17%, signal=31%",AZFc_Del
HALLMARK_TNFA_SIGNALING_VIA_NFKB,115,0.643864188,2.599730681,1.00E-10,5.00E-09,3.58E-09,974,"tags=45%, list=10%, signal=41%",iNOA_B
HALLMARK_SPERMATOGENESIS,86,-0.70809079,-2.545760822,2.24E-08,5.61E-07,4.02E-07,1437,"tags=48%, list=15%, signal=41%",iNOA_B
HALLMARK_KRAS_SIGNALING_UP,70,0.506565785,1.894064309,0.000101034,0.001683906,0.001205322,1513,"tags=37%, list=16%, signal=31%",iNOA_B
HALLMARK_MITOTIC_SPINDLE,145,0.40920954,1.706866608,0.000194201,0.002427508,0.001737585,1469,"tags=28%, list=16%, signal=24%",iNOA_B
HALLMARK_UV_RESPONSE_DN,86,0.436804494,1.680279234,0.001417234,0.014172342,0.010144413,1409,"tags=27%, list=15%, signal=23%",iNOA_B
HALLMARK_OXIDATIVE_PHOSPHORYLATION,182,-0.421575538,-1.697187436,0.002374077,0.019783978,0.014161163,1021,"tags=26%, list=11%, signal=23%",iNOA_B
HALLMARK_ESTROGEN_RESPONSE_EARLY,103,0.398506671,1.583221027,0.003097748,0.022126774,0.015838112,1495,"tags=29%, list=16%, signal=25%",iNOA_B
HALLMARK_INTERFERON_GAMMA_RESPONSE,94,0.391966177,1.52903271,0.00928439,0.05802744,0.041535431,2106,"tags=37%, list=23%, signal=29%",iNOA_B
HALLMARK_FATTY_ACID_METABOLISM,104,-0.460210978,-1.69217012,0.012452384,0.062713304,0.044889523,1045,"tags=29%, list=11%, signal=26%",iNOA_B
HALLMARK_HYPOXIA,116,0.363005334,1.469473675,0.012542661,0.062713304,0.044889523,1555,"tags=25%, list=17%, signal=21%",iNOA_B
HALLMARK_MYC_TARGETS_V1,171,0.637533334,2.086490131,1.00E-10,1.25E-09,6.05E-10,2144,"tags=58%, list=21%, signal=47%",iNOA_S
HALLMARK_OXIDATIVE_PHOSPHORYLATION,183,0.613818277,2.01275962,1.00E-10,1.25E-09,6.05E-10,2653,"tags=61%, list=26%, signal=46%",iNOA_S
HALLMARK_SPERMATOGENESIS,88,-0.739050966,-2.639596638,1.00E-10,1.25E-09,6.05E-10,869,"tags=47%, list=9%, signal=43%",iNOA_S
HALLMARK_TNFA_SIGNALING_VIA_NFKB,131,0.638008165,2.036321199,1.00E-10,1.25E-09,6.05E-10,693,"tags=30%, list=7%, signal=28%",iNOA_S
HALLMARK_FATTY_ACID_METABOLISM,109,0.564059345,1.773321375,4.89E-06,4.89E-05,2.37E-05,2828,"tags=53%, list=28%, signal=39%",iNOA_S
HALLMARK_UV_RESPONSE_UP,110,0.546096639,1.720543057,1.92E-05,0.00015974,7.73E-05,2354,"tags=44%, list=23%, signal=34%",iNOA_S
HALLMARK_HYPOXIA,129,0.508233946,1.622753475,9.21E-05,0.000618745,0.000299603,1074,"tags=24%, list=11%, signal=22%",iNOA_S
HALLMARK_MTORC1_SIGNALING,167,0.486720718,1.587187804,9.90E-05,0.000618745,0.000299603,2064,"tags=37%, list=20%, signal=30%",iNOA_S
HALLMARK_MITOTIC_SPINDLE,151,0.477145731,1.543281467,0.000289658,0.001609214,0.000779198,2351,"tags=40%, list=23%, signal=31%",iNOA_S
HALLMARK_P53_PATHWAY,127,0.481916541,1.538584197,0.000590701,0.002953505,0.001430118,1742,"tags=28%, list=17%, signal=23%",iNOA_S
HALLMARK_OXIDATIVE_PHOSPHORYLATION,186,0.652446926,2.044658266,1.00E-10,5.00E-09,3.05E-09,1201,"tags=40%, list=10%, signal=36%",KS
HALLMARK_TNFA_SIGNALING_VIA_NFKB,127,0.595557036,1.802744611,4.96E-06,0.000124101,7.58E-05,1795,"tags=37%, list=16%, signal=32%",KS
HALLMARK_UV_RESPONSE_UP,119,0.593567768,1.789540627,8.15E-06,0.000135839,8.29E-05,2037,"tags=39%, list=18%, signal=33%",KS
HALLMARK_DNA_REPAIR,136,0.565073174,1.72423146,4.52E-05,0.000565266,0.00034511,2030,"tags=39%, list=18%, signal=32%",KS
HALLMARK_HYPOXIA,133,0.56537614,1.718792738,6.46E-05,0.000646121,0.000394474,1071,"tags=25%, list=9%, signal=23%",KS
HALLMARK_P53_PATHWAY,142,0.548159507,1.675231108,0.000112798,0.00082779,0.000505387,1843,"tags=31%, list=16%, signal=26%",KS
HALLMARK_MYC_TARGETS_V1,176,0.526320933,1.640440182,0.000115891,0.00082779,0.000505387,2406,"tags=43%, list=21%, signal=35%",KS
HALLMARK_SPERMATOGENESIS,107,0.543466527,1.625302172,0.000870067,0.005437917,0.003319991,2627,"tags=46%, list=23%, signal=36%",KS
HALLMARK_FATTY_ACID_METABOLISM,122,0.532313443,1.603732384,0.001084511,0.006025061,0.003678458,2177,"tags=40%, list=19%, signal=33%",KS
HALLMARK_XENOBIOTIC_METABOLISM,116,0.524059753,1.577994688,0.001419724,0.007098621,0.004333895,2056,"tags=33%, list=18%, signal=27%",KS
HALLMARK_OXIDATIVE_PHOSPHORYLATION,185,0.573926735,2.007682074,3.27E-07,1.64E-05,1.24E-05,1067,"tags=31%, list=10%, signal=28%",OA
HALLMARK_MTORC1_SIGNALING,163,0.490614384,1.687831602,0.000813696,0.0203424,0.015417398,1394,"tags=28%, list=13%, signal=24%",OA
HALLMARK_FATTY_ACID_METABOLISM,115,0.524793685,1.737697021,0.001491561,0.024859351,0.018840772,935,"tags=26%, list=9%, signal=24%",OA
HALLMARK_PEROXISOME,77,0.56071506,1.771492175,0.002066914,0.025836431,0.019581295,1799,"tags=39%, list=17%, signal=33%",OA
HALLMARK_MITOTIC_SPINDLE,158,-0.388240979,-1.498210799,0.009682886,0.092768449,0.070308719,1405,"tags=31%, list=13%, signal=27%",OA
HALLMARK_GLYCOLYSIS,138,0.455027861,1.539039332,0.011132214,0.092768449,0.070308719,1631,"tags=26%, list=15%, signal=22%",OA
HALLMARK_INTERFERON_GAMMA_RESPONSE,100,-0.42464635,-1.546602801,0.014515129,0.093909346,0.071173399,1728,"tags=32%, list=16%, signal=27%",OA
HALLMARK_APOPTOSIS,102,-0.451029426,-1.642728881,0.018236876,0.093909346,0.071173399,984,"tags=29%, list=9%, signal=27%",OA
HALLMARK_INTERFERON_ALPHA_RESPONSE,53,-0.499049031,-1.609788959,0.0187239,0.093909346,0.071173399,1367,"tags=26%, list=13%, signal=23%",OA
HALLMARK_ALLOGRAFT_REJECTION,56,-0.512257321,-1.680544446,0.018781869,0.093909346,0.071173399,1758,"tags=36%, list=16%, signal=30%",OA
