stage,group,comparison,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,neglog10_fdr
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,190,-1.68720253406936,1.49728810052807e-06,7.48644050264033e-05,7.48644050264033e-05,3598,"tags=51%, list=10%, signal=46%",NDUFA9/ACAA2/UQCRC2/OXA1L/ISCU/NDUFV1/ETFA/CYB5R3/GRPEL1/ATP6V1G1/DLST/SUCLA2/MPC1/TIMM50/LDHB/PRDX3/ECH1/NDUFB6/PHB2/CYC1/MFN2/PDHX/FH/CYCS/ATP5F1D/SDHA/COX8A/NDUFS2/PMPCA/ACAT1/POLR2F/SDHD/COX5A/TOMM22/UQCRFS1/COX4I1/ACAA1/NDUFB2/ATP5F1A/NDUFA7/TIMM9/NDUFA5/SURF1/NDUFA4/MDH2/ACADVL/TIMM8B/ETFB/COX7A2/NDUFA1/ATP5PD/HADHB/IDH3B/NDUFB1/ATP5PO/SUCLG1/NDUFS4/ECHS1/TIMM10/ATP6V1E1/NDUFA8/NDUFB8/NDUFS8/ATP5F1E/UQCR11/COX17/ATP5PF/UQCRC1/LDHA/COX6B1/IDH3A/SDHB/NDUFC2/ACO2/COX7C/NDUFB7/UQCRQ/HTRA2/NDUFB3/ATP5MG/ATP5F1B/ATP5MF/VDAC3/GPX4/UQCRB/NDUFB4/COX6C/ATP6V1F/NDUFA2/TIMM13/NDUFS6/UQCR10/NDUFA3/NDUFC1/COX6A1/ATP5ME/NDUFS7,4.125724622554543
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,198,1.52119828847076,0.00122253786131533,0.0305634465328832,0.0305634465328832,2191,"tags=32%, list=6%, signal=31%",TOP2A/PCM1/ARHGAP5/CKAP5/CNTRL/DYNC1H1/ARHGAP29/BRCA2/TUBGCP5/BUB1/CCDC88A/KNTC1/CENPJ/LRPPRC/CEP192/STAU1/SPTAN1/CDK5RAP2/RFC1/WASF1/SMC4/ANLN/ALMS1/SMC3/PCNT/RICTOR/TUBGCP2/TLK1/PCGF5/KIF20B/PDLIM5/NF1/SASS6/TPX2/HOOK3/RANBP9/KIF11/ECT2/AKAP13/KIF1B/ROCK1/KIFAP3/ARFGEF1/CDC42/CDC42BPA/RAPGEF6/EZR/NCK1/WASL/CLIP1/TUBGCP3/RASAL2/NEK2/SPTBN1/RAB3GAP1/CEP57/PPP4R2/TUBD1/MAPRE1/DLG1/KIF23/RALBP1/HDAC6/CDC27,1.5147976734662862
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_ADIPOGENESIS,Adipogenesis,197,-1.20034359268538,0.118727050183599,0.513538748832867,0.513538748832866,3609,"tags=29%, list=10%, signal=26%",NMT1/GPHN/AGPAT3/ACAA2/REEP6/COQ5/UCP2/SLC1A5/GHITM/GRPEL1/ELMOD3/DHRS7B/RNF11/PRDX3/UCK1/ECH1/CPT2/CYC1/ACADS/CHCHD10/APLP2/PIM3/STOM/PREB/DGAT1/COX8A/CRAT/CD302/ITGA7/SULT1A1/NKIRAS1/DNAJC15/NDUFA5/MDH2/SLC25A10/AK2/SAMM50/DNAJB9/ETFB/ARL4A/ATP5PO/SUCLG1/LPCAT3/ECHS1/MTCH2/UQCR11/UBC/UQCRC1/IDH3A/SDHB/ACO2/NDUFB7/UQCRQ/GPX4/UQCR10/COX6A1/DDT,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_DNA_REPAIR,Dna Repair,147,-1.25918009333941,0.0763546798029557,0.513538748832867,0.513538748832866,2994,"tags=33%, list=8%, signal=30%",APRT/ALYREF/TAF12/GMPR2/NME1/ERCC4/NCBP2/POLR1D/SAC3D1/AAAS/POM121/NT5C/GTF2H5/TMED2/POLL/POLR2G/ERCC3/GUK1/SSRP1/POLR2F/MPG/NUDT9/SF3A3/TK2/SNAPC5/SURF1/NELFE/POLR2C/POLR2H/RPA3/ZWINT/EDF1/TYMS/SUPT4H1/RAE1/COX17/TAF6/NUDT21/VPS28/GTF2A2/DAD1/TAF10/BRF2/ERCC1/POLR2E/GPX4/ADRM1/POLR2I,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_E2F_TARGETS,E2f Targets,198,1.15522439052213,0.138121546961326,0.513538748832867,0.513538748832866,3236,"tags=41%, list=9%, signal=38%",PRKDC/TOP2A/DNMT1/CCP110/BRCA1/ATAD2/BRCA2/DUT/HMMR/SMC6/LBR/XPO1/UBE2S/CSE1L/HELLS/USP1/RFC1/TRA2B/SMC4/SYNCRIP/RAD51AP1/PAICS/TMPO/SMC3/TFRC/STMN1/ORC6/NUP205/SPC25/PDS5B/CHEK1/PSIP1/TUBB/MCM4/NUP153/ILF3/CDCA8/CBX5/RAD50/POLE/POLD2/MSH2/POLD3/HMGB2/CDKN1B/MTHFD2/NASP/RAD21/ING3/CDCA3/LUC7L3/PCNA/DDX39A/DEPDC1/RPA2/MCM2/NAP1L1/CDC20/MCM6/STAG1/ASF1A/POLA2/IPO7/MMS22L/GSPT1/MKI67/MLH1/SRSF1/WEE1/BUB1B/RFC2/BARD1/DONSON/PAN2/SLBP/DIAPH3/CENPE/DSCC1/TACC3/CTCF/KIF4A/ASF1B,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,156,-1.17502246155628,0.166259168704156,0.513538748832867,0.513538748832866,5297,"tags=35%, list=14%, signal=30%",RETSAT/EPHX1/MCEE/ACSL5/NTHL1/HSD17B4/HMGCS2/ACSL4/ETFDH/BCKDHB/BPHL/OSTC/ADSL/HCCS/PDHB/CPT1A/IDH1/GCDH/RAP1GDS1/ACAA2/REEP6/HMGCL/IL4I1/DLST/SUCLA2/ALDH1A1/ALDH9A1/NBN/ECH1/CPT2/FH/ACADS/SDHA/ECI2/CRAT/SDHD/ACAA1/UROD/ELOVL5/IDI1/HMGCS1/MDH2/ACADVL/ACAT2/HADHB/ODC1/IDH3B/GAPDHS/SUCLG1/ECHS1/G0S2/GRHPR/ACOT8/LDHA/ACO2,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_HYPOXIA,Hypoxia,197,-1.232228095377,0.0807833537331701,0.513538748832867,0.513538748832866,2551,"tags=11%, list=7%, signal=10%",HEXA/RRAGD/ILVBL/PFKP/SAP30/NAGK/GCNT2/ENO1/JMJD6/GAA/LDHC/GAPDHS/GRHPR/DDIT3/PRDX5/LDHA/SLC2A5/CSRP2/CAVIN3/PGAM2/GAPDH,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,83,1.23790378376948,0.111969111969112,0.513538748832867,0.513538748832866,5380,"tags=22%, list=14%, signal=19%",CBL/IL6ST/PTPN11/IFNGR1/PTPN2/STAT1/A2M/PTPN1/GRB2/PIK3R5/CD38/STAM2/CD9/IL17RB/STAT3/IL1R1/IRF1/TNFRSF1A,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,181,-1.16201734567423,0.174603174603175,0.513538748832867,0.513538748832866,3134,"tags=38%, list=8%, signal=35%",SF3A1/EIF3B/PSMC4/SERBP1/CCT2/NME1/PSMB2/NOP56/NCBP2/PRDX3/SRSF3/PRPF31/PSMA4/PHB2/CYC1/CCT3/LSM7/KPNB1/UBE2L3/MCM5/MAD2L1/MCM7/TARDBP/RANBP1/UBE2E1/POLE3/HNRNPA1/COX5A/HSPE1/XRCC6/CCT4/HNRNPA3/YWHAQ/ILF2/HDGF/SNRPD2/CCT7/YWHAE/PSMB3/CDK4/SRSF7/SNRPA1/SRSF2/TXNL4A/COPS5/PSMD8/ODC1/SNRPG/SSBP1/PSMA1/SNRPD1/TYMS/PA2G4/TCP1/PSMD14/KPNA2/LDHA/PRDX4/HNRNPD/RUVBL2/PSMA2/CCT5/VDAC3/RAN/ERH/PSMD7/NHP2/AIMP2/PCBP1,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_NOTCH_SIGNALING,Notch Signaling,32,-1.26352619079239,0.155120481927711,0.513538748832867,0.513538748832866,1949,"tags=12%, list=5%, signal=12%",SAP30/SKP1/WNT2/PSENEN,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_PANCREAS_BETA_CELLS,Pancreas Beta Cells,38,-1.33185704654474,0.0895522388059701,0.513538748832867,0.513538748832866,1671,"tags=29%, list=4%, signal=28%",DPP4/IAPP/NKX6-1/FOXA2/SPCS1/ELP4/CHGA/MAFB/SEC11A/SRP14/SRP9,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_PEROXISOME,Peroxisome,104,-1.18358821884695,0.162516382699869,0.513538748832867,0.513538748832866,4036,"tags=28%, list=11%, signal=25%",CTBP1/ESR2/DLG4/IDH1/ABCB9/HMGCL/ALDH1A1/ALDH9A1/ECH1/PEX5/ERCC3/ECI2/SIAH1/CRAT/ITGB1BP1/ACAA1/ELOVL5/PEX11B/IDI1/GNPAT/ACOT8/PRDX5/ERCC1/IDE/CDK7/PRDX1/FDPS/FIS1/SLC25A19,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,103,-1.19569305277572,0.153543307086614,0.513538748832867,0.513538748832866,2971,"tags=22%, list=8%, signal=21%",ACTR2/ACTR3/PPP1CA/AP2M1/CDK1/CAMK4/MYD88/CAB39/UBE2N/ARPC3/THEM4/CDK4/PRKAG1/ARF1/UBE2D3/DDIT3/ARHGDIA/SQSTM1/CAB39L/CALR/PIN1/CSNK2B/PPP2R1B,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_SPERMATOGENESIS,Spermatogenesis,132,-1.17769696951428,0.157360406091371,0.513538748832867,0.513538748832866,3010,"tags=36%, list=8%, signal=33%",COIL/LPIN1/AGFG1/PEBP1/EZH2/TEKT2/NF2/ART3/CDK1/CAMK4/KIF2C/SCG3/PHKG2/DDX25/HSPA2/TUBA3C/IL13RA2/ZPBP/CCNB2/PCSK4/TSN/POMC/MLF1/SCG5/PACRG/ACRBP/TSSK2/ARL4A/LDHC/CSNK2A2/ADAM2/GAPDHS/DPEP3/ZC2HC1C/SLC2A5/ADAD1/IDE/PIAS2/VDAC3/AURKA/CCNA1/CRISP2/PSMG1/GSTM3/PGK2/CDKN3/PDHA2,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_TGF_BETA_SIGNALING,Tgf Beta Signaling,54,1.2907925267035,0.104234527687296,0.513538748832867,0.513538748832866,4872,"tags=43%, list=13%, signal=37%",ARID4B/SKIL/SLC20A1/SMAD1/TRIM33/TJP1/BMPR2/SPTBN1/KLF10/PPM1A/LTBP2/APC/SMURF1/THBS1/CTNNB1/TGFBR1/CDKN1C/SMURF2/CDK9/ID1/HDAC1/ID3/ID2,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,140,1.29834163465859,0.0564624325001872,0.513538748832867,0.513538748832866,4779,"tags=34%, list=13%, signal=29%",NIPBL/PHF3/PRDM2/CDK13/PIK3R3/SCAF8/ATP2B4/SIPA1L1/APBB2/YTHDC1/SFMBT1/PDLIM5/ACVR2A/CDC42BPA/CDKN1B/TJP1/CELF2/ATP2B1/DLG1/CAV1/TOGARAM1/WDR37/FHL2/AKT3/SLC7A1/INSIG1/NR3C1/ANXA2/DYRK1A/NOTCH2/ICA1/SPOP/IGF1R/PPARG/ADD3/KALRN/DUSP1/PRKCE/MAPK14/CACNA1A/ATRX/LDLR/IGFBP5/ID1/NFIB/MAP2K5/NEK7,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Wnt Beta Catenin Signaling,42,1.35015327099238,0.101035494449729,0.513538748832867,0.513538748832866,3825,"tags=24%, list=10%, signal=21%",LEF1/HDAC2/NKD1/DVL2/HEY2/DKK4/CTNNB1/PPARD/CUL1/RBPJ,0.28942678133761135
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,194,1.10097987384969,0.189189189189189,0.525525525525526,0.525525525525526,3407,"tags=41%, list=9%, signal=38%",TOP2A/KNL1/BRCA2/BUB1/HMMR/LBR/XPO1/UBE2S/NSD2/SQLE/TRA2B/SMC4/SYNCRIP/TMPO/HSPA8/SFPQ/STMN1/ORC6/YTHDC1/PDS5B/NUP98/CHEK1/KIF20B/SMARCC1/NCL/SRSF10/ILF3/SMC2/PRPF4B/TPX2/G3BP1/KIF11/CASP8AP2/AMD1/POLE/CDKN1B/LIG3/NASP/RAD21/EXO1/RASAL2/HNRNPU/DDX39A/RPA2/MCM2/NEK2/RBL1/CUL5/CDC20/POLQ/KIF23/WRN/MCM6/STAG1/HMGN2/CDC27/CCNT1/MAP3K20/POLA2/E2F3/GSPT1/DBF4/PURA/SLC12A2/SLC7A1/MKI67/TOP1/SRSF1/HIF1A/BARD1/NOTCH2/CENPE/TACC3/CTCF/DKC1/KIF4A/TFDP1/HUS1/CUL1/DR1,0.27940618482002505
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,72,-1.14378848737034,0.25,0.543478260869565,0.543478260869565,1639,"tags=22%, list=4%, signal=21%",TNFRSF12A/STX5/PMVK/FBXO6/ECH1/MVD/MVK/IDI1/HMGCS1/ACAT2/PCYT2/CHKA/FDFT1/GUSB/FDPS/CLU,0.26481782300953666
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,197,1.06308823925629,0.248648648648649,0.543478260869565,0.543478260869565,3715,"tags=15%, list=10%, signal=13%",RBBP8/ELOVL2/SVIL/ISG20L2/IL6ST/MYBL1/TGIF2/TIPARP/KDM4B/INPP5F/MED13L/MUC1/AREG/BAG1/KLF10/SCARB1/FHL2/DYNLT3/SLC39A6/SLC16A1/ABHD2/JAK2/AFF1/RASGRP1/SEC14L2/ELF1/IGF1R/ADD3/MAPT,0.26481782300953666
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_MYC_TARGETS_V2,Myc Targets V2,57,-1.1906611965228,0.206798866855524,0.543478260869565,0.543478260869565,4264,"tags=42%, list=11%, signal=37%",RABEPK/MAP3K6/SRM/RRP9/UNG/TFB2M/NOP56/EXOSC5/IMP4/PES1/MCM5/NOC4L/WDR74/HSPE1/NIP7/FARSA/TBRG4/CDK4/NDUFAF4/PLK1/MRTO4/PA2G4/IPO4/AIMP2,0.26481782300953666
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,48,-1.1607574137489,0.242732558139535,0.543478260869565,0.543478260869565,3153,"tags=23%, list=8%, signal=21%",PTPA/HMOX2/PFKP/NDUFS2/LAMTOR5/MBP/CDKN2D/PRDX4/PRDX1/GPX4/NDUFB4,0.26481782300953666
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,196,-1.11858571229455,0.232926829268293,0.543478260869565,0.543478260869565,5297,"tags=21%, list=14%, signal=18%",RETSAT/EPHX1/BCAR1/ETFDH/NFS1/LPIN2/HMOX1/GSS/BPHL/ACP2/PGRMC1/BCAT1/SLC35D1/LONP1/IDH1/PAPSS2/NMT1/FBLN1/GSTO1/FAS/SLC1A5/ARG2/PTGDS/ALDH9A1/TMBIM6/ECH1/ADH5/GSTM4/AHCY/KYNU/GCNT2/ELOVL5/DHPS/SSR3/HACL1/PYCR1/SMOX/PMM1/ACO2/DDT/PINK1,0.26481782300953666
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_GLYCOLYSIS,Glycolysis,198,-1.09161574133482,0.286236297198538,0.596325619163622,0.596325619163622,4144,"tags=19%, list=11%, signal=17%",RBCK1/TPBG/GNPDA1/IDH1/QSOX1/IDUA/MPI/MED24/VLDLR/PPP2CB/GMPPB/PSMC4/BPNT1/HAX1/ALDH9A1/PGLS/CDK1/RRAGD/PFKP/SAP30/GALK2/RPE/ENO1/MDH2/SLC25A10/CHST1/GOT1/LDHC/GAPDHS/NDUFV3/LDHA/LHPP/GUSB/AURKA/ALG1/FKBP4/PGAM2,0.2245165322232914
