stage,group,comparison,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,neglog10_fdr
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,198,2.11930084393033,1e-10,5e-09,1.57894736842105e-09,3436,"tags=37%, list=9%, signal=34%",MYL9/MGP/TPM2/CALD1/LGALS1/TIMP3/MYLK/DCN/VIM/SPARC/TPM1/TIMP1/TPM4/ITGB1/TAGLN/GADD45B/FLNA/JUN/ACTA2/POSTN/SAT1/CD59/BGN/RHOB/ID2/FN1/EMP3/SERPINE1/DPYSL3/COL1A2/FBN1/CALU/CAP2/COL4A1/CXCL12/FSTL1/MEST/SGCB/COPA/THBS1/GADD45A/COL6A2/PMP22/ENO2/NOTCH2/SERPINH1/LUM/MFAP5/IL32/COL1A1/IGFBP4/COL4A2/MMP2/ECM2/SLIT3/DAB2/PDGFRB/COL5A1/COL6A3/QSOX1/FAS/INHBA/SPOCK1/CXCL8/IGFBP3/FSTL3/LAMC1/SERPINE2/WIPF1/FBLN5/FUCA1/PLOD1/ABI3BP,8.301029995663981
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_COAGULATION,Coagulation,135,2.04744496314813,4.11484862711525e-10,1.02871215677881e-08,3.2485647056173e-09,2959,"tags=32%, list=8%, signal=29%",A2M/TIMP3/SPARC/TIMP1/CSRP1/SERPING1/CRIP2/GSN/CD9/WDR1/RAC1/CAPN2/SIRT2/CTSB/FN1/PECAM1/VWF/C1R/PRSS23/SERPINE1/GNG12/FBN1/F8/GNB2/LAMP2/THBS1/C1S/ANXA1/CFH/CTSO/CLU/APOA1/C1QA/CFD/S100A13/MSRB2/MMP2/PEF1/THBD/HMGCS2/CTSK/TF/DUSP14,7.98770612787147
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_APOPTOSIS,Apoptosis,159,1.99862540809892,8.38189221332482e-10,1.39698203555414e-08,4.41152221753938e-09,3180,"tags=40%, list=9%, signal=36%",IFITM3/TIMP3/GPX3/HSPB1/CAV1/DCN/TXNIP/TIMP1/GADD45B/GSN/SOD1/JUN/LGALS3/SAT1/BGN/RHOB/IGFBP6/NEDD9/TSPO/DNM1L/CTNNB1/BCAP31/SPTAN1/ADD1/BTG2/LMNA/TNFSF10/MCL1/APP/HMGB2/ROCK1/CDKN1A/CDKN1B/GADD45A/ANXA1/ENO2/CLU/CCND2/DNAJC3/IRF1/LUM/CASP3/HGF/BNIP3L/CCND1/MMP2/ATF3/EMP1/CREBBP/PDGFRB/PDCD4/GPX1/IFNGR1/FEZ1/ETF1/BTG3/FAS/XIAP/DAP3/PTK2/CASP2/F2R/SOD2,7.854809178645926
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_APICAL_JUNCTION,Apical Junction,198,1.94313487623725,2.04006422153195e-09,2.04006422153195e-08,6.44230806799564e-09,3185,"tags=26%, list=9%, signal=24%",ACTB/MYL9/PFN1/ITGB1/CD99/NEXN/MSN/ACTG1/ACTG2/MAP3K20/MYL12B/ACTN1/VCL/PECAM1/VWF/MYH9/GNAI2/CTNNA1/ARPC2/ACTN4/RRAS/CD34/FBN1/TJP1/YWHAH/TIAL1/WASL/ZYX/RSU1/LIMA1/HADH/CLDN5/GAMT/PARVA/AMIGO2/SLC30A3/CAP1/MMP2/CX3CL1/MDK/CNN2/FSCN1/B4GALT1/GTF2F1/CTNND1/ITGA9/EGFR/PTK2/SORBS3/MYH10/VASP,7.6903561607025654
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.94381401399588,1.92161766187227e-09,2.04006422153195e-08,6.44230806799564e-09,3668,"tags=36%, list=10%, signal=33%",FOS/DUSP1/GADD45B/JUN/NFKBIA/SAT1/KLF6/IER2/HES1/RHOB/EGR1/ZFP36/LITAF/JUNB/ID2/PLK2/JAG1/BTG1/ETS2/IL6ST/EIF1/NINJ1/BTG2/SERPINE1/PNRC1/PDLIM5/CEBPD/NFE2L2/MCL1/TSC22D1/PHLDA2/CDKN1A/ATP2B1/PPP1R15A/GADD45A/DRAM1/CCL2/SGK1/IRF1/PER1/KLF10/CCND1/KLF2/CXCL3/EDN1/MYC/ATF3/IFNGR2/PLPP3/BTG3/BCL6/B4GALT1/TNFAIP8/EFNA1/HBEGF/INHBA/CCNL1/NAMPT/DNAJB4/MARCKS/NFAT5/SOD2/TNIP1/CSF1/F3/KLF9/CCL4/MXD1/FOSB/NR4A2/KDM6B,7.6903561607025654
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,195,1.89532969598521,2.46651619800585e-08,1.91911889813906e-07,6.06037546780754e-08,5030,"tags=43%, list=13%, signal=37%",B2M/IFITM3/MT2A/TXNIP/CD74/IFITM2/IFI27/SERPING1/NFKBIA/HLA-B/MTHFD2/HLA-A/ARID5B/LY6E/STAT3/BTG1/VAMP5/C1R/BST2/PSME1/TNFSF10/HLA-DMA/PSMA3/LGALS3BP/CDKN1A/SAMHD1/ADAR/IFI44L/FGL2/C1S/CFH/GBP4/PSMB9/CCL2/TRAFD1/IRF2/PSMB8/IRF1/CASP3/EIF2AK2/STAT2/PLSCR1/HIF1A/TAPBP/SAMD9L/UBE2L6/HLA-DQA1/GPR18/SSPN/FAS/IFI44/PTPN6/MVP/NMI/ISG15/NAMPT/NCOA3/SOD2/PSME2/APOL6/PARP14/LATS2/TDRD7/IFI35/IFIT1/CD40/SOCS1/TRIM21/OAS2/PML/LCP2/JAK2/CIITA/CXCL11/FCGR1A/ISOC1/CASP4/IFIT3/RIPK1/IFIH1/NFKB1/XAF1/RBCK1/IL15,6.716898117913772
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_MYOGENESIS,Myogenesis,196,1.88121537247831,2.68676645739468e-08,1.91911889813906e-07,6.06037546780754e-08,3242,"tags=34%, list=9%, signal=31%",TPM2/MYH11/GPX3/IGFBP7/MYLK/SPARC/FHL1/ITGB1/TAGLN/GADD45B/EIF4A2/GSN/CRYAB/SVIL/APOD/BAG1/SIRT2/PDLIM7/CNN3/CKB/CASQ2/MYH9/LPIN1/SPTAN1/COX7A1/SYNGR2/ABLIM1/DMD/DES/COL15A1/PRNP/APP/GABARAPL2/AEBP1/CDKN1A/MAPRE3/CD36/COL6A2/TPM3/CLU/IFRD1/CFD/AGL/MYH3/COL1A1/COL4A2/SMTN/SOD3/SORBS1/SGCA/RB1/SSPN/MEF2A/ATP6AP1/COL6A3/DTNA/PTP4A3/MYO1C/HBEGF/IGFBP3/SORBS3/PICK1/LDB3/MEF2D/RIT1/ACSL1/GAA,6.716898117913772
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_COMPLEMENT,Complement,199,1.69440959901819,2.07398806538264e-05,0.000129624254086415,4.09339749746574e-05,4745,"tags=36%, list=13%, signal=32%",PFN1/TIMP1/CD46/CSRP1/SERPING1/CALM1/LGALS3/CD55/ANXA5/CD59/CTSB/FN1/CPM/GNAI2/C1R/ZEB1/SERPINE1/CA2/HSPA1A/GPD2/F8/GNB2/CTSS/LAMP2/C1S/CTSD/KCNIP2/CFH/CD36/PSMB9/CTSO/IRF2/CLU/C1QA/IRF1/HSPA5/CASP3/CTSL/S100A13/PLSCR1/GRB2/COL4A2/RBSN/USP14/C1QC/RHOG/GNB4/CTSC/FCER1G/GNAI3/RNF4/USP15/F3/LGMN/PRDM4/DOCK9/F10/APOBEC3F/STX4/CPQ/PCLO/MMP14/SH2B3/LCP2/JAK2/LRP1/EHD1/DUSP6/CTSV/ME1/CASP4/ERAP2,3.887313729712534
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,197,1.68835179590164,3.7294271520704e-05,0.000207190397337244,6.54285465275509e-05,5676,"tags=35%, list=15%, signal=30%",TIMP1/NFKBIA/CD55/KLF6/RGS1/LY6E/SLC7A2/EMP3/BTG2/SERPINE1/CALCRL/BST2/TNFSF10/HAS2/CDKN1A/CD82/ATP2B1/CCL2/IRF1/EIF2AK2/ABI1/HIF1A/TAPBP/EDN1/MYC/DCBLD2/CX3CL1/IFNGR2/RHOG/P2RX7/HBEGF/INHBA/AXL/CXCL8/GNAI3/NMI/NAMPT/ATP2A2/ACVR2A/CSF1/F3/RGS16/IFITM1/MXD1/C3AR1/CD40/CYBB/P2RX4/ACVR1B/CD14/MMP14/ITGA5/LCP2/RELA/CXCL11/SGMS2/IL1R1/MSR1/NFKB1/IL15/PLAUR/CMKLR1/GPR183/PTPRE/AHR/OSMR/PTAFR/ATP2C1/HPN,3.6836303767264544
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,95,1.80779781662981,4.38415881228117e-05,0.000219207940614059,6.92235601939132e-05,3842,"tags=44%, list=10%, signal=40%",B2M/IFITM3/TXNIP/CD74/IFITM2/IFI27/HLA-C/LY6E/BST2/PSME1/LPAR6/PSMA3/LGALS3BP/ADAR/IFI44L/C1S/ELF1/GBP4/PSMB9/TRAFD1/IRF2/PSMB8/IRF1/EIF2AK2/STAT2/PLSCR1/SAMD9L/UBE2L6/PARP9/MVB12A/IFI44/CNP/NMI/ISG15/PSME2/PARP14/CSF1/TDRD7/IFI35/IFITM1/NCOA7/TRIM21,3.659143717968657
