stage,group,comparison,pathway_readable,pathway,NES,pvalue,p.adjust,neglog10_fdr,is_missing
Round_Spermatids,OA,OA vs Ctrl,Epithelial Mesenchymal Transition,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.11930084393033,1e-10,5e-09,8.301029995663981,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Epithelial Mesenchymal Transition,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.09514988683684,1e-10,4.25084476215785e-09,8.371524754870387,0
Round_Spermatids,KS,KS vs Ctrl,Epithelial Mesenchymal Transition,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.89169030866401,5.1196322889821e-09,2.55981614449105e-07,6.591791226211746,0
Round_Spermatids,OA,OA vs Ctrl,Coagulation,HALLMARK_COAGULATION,2.04744496314813,4.11484862711525e-10,1.02871215677881e-08,7.98770612787147,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Coagulation,HALLMARK_COAGULATION,2.0717117534313,1.70033790486314e-10,4.25084476215785e-09,8.371524754870387,0
Round_Spermatids,KS,KS vs Ctrl,Coagulation,HALLMARK_COAGULATION,1.91932118932038,1.37405063365596e-08,3.43512658413989e-07,6.464057254592632,0
Round_Spermatids,OA,OA vs Ctrl,Apoptosis,HALLMARK_APOPTOSIS,1.99862540809892,8.38189221332482e-10,1.39698203555414e-08,7.854809178645926,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Apoptosis,HALLMARK_APOPTOSIS,1.9259273262124,8.72396992048043e-08,8.72396992048043e-07,6.059285840501853,0
Round_Spermatids,KS,KS vs Ctrl,Apoptosis,HALLMARK_APOPTOSIS,1.6777777139099,4.02142144732159e-05,0.000428539026513627,3.3680096212840023,0
Round_Spermatids,OA,OA vs Ctrl,Tnfa Signaling Via Nfkb,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.94381401399588,1.92161766187227e-09,2.04006422153195e-08,7.6903561607025654,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Tnfa Signaling Via Nfkb,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.87218075871461,2.81127746226217e-08,3.51409682782772e-07,6.454186276075807,0
Round_Spermatids,KS,KS vs Ctrl,Tnfa Signaling Via Nfkb,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.70848690786613,8.98039463368814e-06,0.000149673243894802,3.824855828697703,0
Round_Spermatids,OA,OA vs Ctrl,Apical Junction,HALLMARK_APICAL_JUNCTION,1.94313487623725,2.04006422153195e-09,2.04006422153195e-08,7.6903561607025654,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Apical Junction,HALLMARK_APICAL_JUNCTION,1.91609259970208,2.82980371082906e-09,4.71633951804843e-08,7.326394938626249,0
Round_Spermatids,KS,KS vs Ctrl,Apical Junction,HALLMARK_APICAL_JUNCTION,1.49039813916024,0.00181699917961492,0.00757082991506218,2.1208565104898636,0
Round_Spermatids,OA,OA vs Ctrl,Interferon Gamma Response,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.89532969598521,2.46651619800585e-08,1.91911889813906e-07,6.716898117913772,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Interferon Gamma Response,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.83527531730933,1.40649764086486e-07,1.17208136738738e-06,5.93104223799307,0
Round_Spermatids,KS,KS vs Ctrl,Interferon Gamma Response,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.65990594113582,4.28539026513627e-05,0.000428539026513627,3.3680096212840023,0
Round_Spermatids,OA,OA vs Ctrl,Myogenesis,HALLMARK_MYOGENESIS,1.88121537247831,2.68676645739468e-08,1.91911889813906e-07,6.716898117913772,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Myogenesis,HALLMARK_MYOGENESIS,1.81627271494637,2.20811300955908e-07,1.57722357825649e-06,5.802106739188121,0
Round_Spermatids,KS,KS vs Ctrl,Myogenesis,HALLMARK_MYOGENESIS,1.56310478467614,0.000385091802605965,0.00278420031500828,2.555299521729176,0
Round_Spermatids,OA,OA vs Ctrl,Complement,HALLMARK_COMPLEMENT,1.69440959901819,2.07398806538264e-05,0.000129624254086415,3.887313729712534,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Complement,HALLMARK_COMPLEMENT,1.65424357168335,3.90974791899304e-05,0.000244359244937065,3.6119712254952283,0
Round_Spermatids,KS,KS vs Ctrl,Complement,HALLMARK_COMPLEMENT,1.48352498724032,0.00170976016928232,0.00757082991506218,2.1208565104898636,0
Round_Spermatids,OA,OA vs Ctrl,Inflammatory Response,HALLMARK_INFLAMMATORY_RESPONSE,1.68835179590164,3.7294271520704e-05,0.000207190397337244,3.6836303767264544,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Inflammatory Response,HALLMARK_INFLAMMATORY_RESPONSE,1.55000286885023,0.000433365862205136,0.00135426831939105,2.8682952809343107,0
Round_Spermatids,KS,KS vs Ctrl,Inflammatory Response,HALLMARK_INFLAMMATORY_RESPONSE,1.50215098861288,0.000801465389799562,0.00445258549888646,2.351387732428875,0
Round_Spermatids,OA,OA vs Ctrl,Interferon Alpha Response,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.80779781662981,4.38415881228117e-05,0.000219207940614059,3.659143717968657,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Interferon Alpha Response,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.74519970246644,0.000107494283796575,0.000537471418982874,3.2696446251947755,0
Round_Spermatids,KS,KS vs Ctrl,Interferon Alpha Response,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.59619755639831,0.00174927723170518,0.00757082991506218,2.1208565104898636,0
Round_Spermatids,OA,OA vs Ctrl,Uv Response Dn,HALLMARK_UV_RESPONSE_DN,1.72659763050776,6.61143131708843e-05,0.000300519605322201,3.5221271901986544,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Uv Response Dn,HALLMARK_UV_RESPONSE_DN,1.71632915894944,8.88041902096839e-05,0.000493356612276022,3.3068390467345026,0
Round_Spermatids,KS,KS vs Ctrl,Uv Response Dn,HALLMARK_UV_RESPONSE_DN,1.61040388566977,0.00038978804410116,0.00278420031500828,2.555299521729176,0
Round_Spermatids,OA,OA vs Ctrl,P53 Pathway,HALLMARK_P53_PATHWAY,1.62789095730991,0.000102599835630556,0.000427499315127317,3.36906457669409,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,P53 Pathway,HALLMARK_P53_PATHWAY,1.55098953813682,0.000674865358226998,0.00198489811243235,2.702261781265638,0
Round_Spermatids,KS,KS vs Ctrl,P53 Pathway,HALLMARK_P53_PATHWAY,1.31422550131841,0.0296531966382232,0.0673936287232346,1.171381158971089,0
Round_Spermatids,OA,OA vs Ctrl,Adipogenesis,HALLMARK_ADIPOGENESIS,1.64231022355276,0.000119789827649802,0.000460730106345392,3.336553407906921,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Adipogenesis,HALLMARK_ADIPOGENESIS,1.58484668756019,0.000258018129701607,0.000943558937990902,3.0252309670997017,0
Round_Spermatids,KS,KS vs Ctrl,Adipogenesis,HALLMARK_ADIPOGENESIS,1.29198201724867,0.0202781685093529,0.0506954212733823,1.295031263654854,0
Round_Spermatids,OA,OA vs Ctrl,Estrogen Response Early,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.60739624615314,0.000209787790241217,0.000749242108004347,3.125377822914469,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Estrogen Response Early,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.60080289409324,0.000185706189595426,0.000844119043615574,3.0735963017871053,0
Round_Spermatids,KS,KS vs Ctrl,Estrogen Response Early,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.42339484083252,0.00331160325962976,0.0110386775320992,1.9570829533200742,0
Round_Spermatids,OA,OA vs Ctrl,Xenobiotic Metabolism,HALLMARK_XENOBIOTIC_METABOLISM,1.57697680159863,0.000263098510211697,0.000876995034038991,3.0570028658079273,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Xenobiotic Metabolism,HALLMARK_XENOBIOTIC_METABOLISM,1.43785216955672,0.00420116630627558,0.00875242980474079,2.0578713636290225,0
Round_Spermatids,KS,KS vs Ctrl,Xenobiotic Metabolism,HALLMARK_XENOBIOTIC_METABOLISM,1.00135766093855,0.423694779116466,0.519871732581868,0.2841037961795449,0
Round_Spermatids,OA,OA vs Ctrl,Angiogenesis,HALLMARK_ANGIOGENESIS,1.79904714421816,0.000445057858915257,0.00139080580911018,2.856733504026148,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Angiogenesis,HALLMARK_ANGIOGENESIS,1.78402239639268,0.000260787097200438,0.000943558937990902,3.0252309670997017,0
Round_Spermatids,KS,KS vs Ctrl,Angiogenesis,HALLMARK_ANGIOGENESIS,1.63510788531688,0.00307109770668129,0.0109682060952903,1.9598643976417387,0
Round_Spermatids,OA,OA vs Ctrl,Il2 Stat5 Signaling,HALLMARK_IL2_STAT5_SIGNALING,1.5505898814837,0.000561737256612988,0.00165216840180291,2.781945688101395,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Il2 Stat5 Signaling,HALLMARK_IL2_STAT5_SIGNALING,1.58494680470422,0.000273047852823377,0.000943558937990902,3.0252309670997017,0
Round_Spermatids,KS,KS vs Ctrl,Il2 Stat5 Signaling,HALLMARK_IL2_STAT5_SIGNALING,1.18425218831661,0.096579476861167,0.166516339415805,0.7785431449206827,0
Round_Spermatids,OA,OA vs Ctrl,Hypoxia,HALLMARK_HYPOXIA,1.4750322679785,0.00232057949519341,0.00504473803302916,2.2971613812137535,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Hypoxia,HALLMARK_HYPOXIA,1.57765820972958,0.00028306768139727,0.000943558937990902,3.0252309670997017,0
Round_Spermatids,KS,KS vs Ctrl,Hypoxia,HALLMARK_HYPOXIA,1.18756610272389,0.0963855421686747,0.166516339415805,0.7785431449206827,0
Round_Spermatids,OA,OA vs Ctrl,Uv Response Up,HALLMARK_UV_RESPONSE_UP,1.57122965568963,0.000731453505897116,0.00203181529415866,2.6921157749184736,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Uv Response Up,HALLMARK_UV_RESPONSE_UP,1.57430918899121,0.000973855498457263,0.00270515416238129,2.5678079801087113,0
Round_Spermatids,KS,KS vs Ctrl,Uv Response Up,HALLMARK_UV_RESPONSE_UP,0.921315166858573,0.64989939637827,0.676978537894031,0.16942509944179757,0
Round_Spermatids,OA,OA vs Ctrl,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,1.54876836327022,0.000881197061332289,0.00231893963508497,2.6347105564464086,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,1.48266084960662,0.00264101986239411,0.00660254965598528,2.1802883238977433,0
Round_Spermatids,KS,KS vs Ctrl,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,1.39691859253156,0.00811359995097564,0.022537777641599,1.647088910187603,0
Round_Spermatids,OA,OA vs Ctrl,Estrogen Response Late,HALLMARK_ESTROGEN_RESPONSE_LATE,1.50507670187345,0.00110877250705965,0.00277193126764914,2.557217542621119,0
Round_Spermatids,AZFc_Del,AZFc_Del vs Ctrl,Estrogen Response Late,HALLMARK_ESTROGEN_RESPONSE_LATE,1.45547557699892,0.00351079137588043,0.00774042168932059,2.1112353788059495,0
