regulon_label,gene,Stage_a,Stage_b,Stage_c,n_stage_a,n_stage_b,n_stage_c
AEBP2(12g),AEBP2,0.03911882,0.06297000,0.04551444,78,149,506
ARID3A(17g),ARID3A,0.00297059,0.00380133,0.00316682,78,149,506
BACH2(51g),BACH2,0.04452728,0.01163854,0.01035854,78,149,506
BNC2(6g),BNC2,0.00448750,0.00054328,0.00748176,78,149,506
CEBPB(5g),CEBPB,0.01093605,0.00512452,0.00472493,78,149,506
CEBPG(65g),CEBPG,0.01638923,0.01720522,0.01227623,78,149,506
DBX2(17g),DBX2,0.01104077,0.01192512,0.01101234,78,149,506
DEAF1(28g),DEAF1,0.03006083,0.02222053,0.01980249,78,149,506
E2F1(73g),E2F1,0.00750169,0.00503252,0.00567301,78,149,506
E2F6(31g),E2F6,0.04177130,0.04579924,0.03198904,78,149,506
EBF1(7g),EBF1,0.01796472,0.00861596,0.00954574,78,149,506
ELF1(46g),ELF1,0.05567546,0.05552415,0.05516489,78,149,506
ELF2(11g),ELF2,0.01078264,0.02129660,0.01588942,78,149,506
ELF4(36g),ELF4,0.01405301,0.00470183,0.00540089,78,149,506
ELK1(38g),ELK1,0.03359059,0.03043488,0.02972788,78,149,506
ELK3(146g),ELK3,0.01834432,0.01718698,0.01201779,78,149,506
ELK4(238g),ELK4,0.05099081,0.04634171,0.03874342,78,149,506
EMX2(12g),EMX2,0.01329436,0.01434555,0.01411774,78,149,506
ERG(21g),ERG,0.03900492,0.00645174,0.00855341,78,149,506
ETS1(47g),ETS1,0.04357898,0.01858939,0.01261484,78,149,506
ETS2(97g),ETS2,0.04489459,0.01574662,0.01392222,78,149,506
ETV1(9g),ETV1,0.04469910,0.05240762,0.06054521,78,149,506
ETV2(12g),ETV2,0.00377954,0.00262501,0.00233803,78,149,506
ETV3(8g),ETV3,0.03877288,0.03854070,0.02844481,78,149,506
ETV4(42g),ETV4,0.01496117,0.02162064,0.01683910,78,149,506
ETV7(13g),ETV7,0.01448026,0.01258506,0.01436298,78,149,506
FLI1(19g),FLI1,0.00851889,0.00678562,0.00512924,78,149,506
FOS(37g),FOS,0.15072843,0.05306515,0.19496754,78,149,506
FOSB(38g),FOSB,0.09258873,0.02579858,0.10694510,78,149,506
FOSL1(12g),FOSL1,0.00625418,0.00881336,0.01304068,78,149,506
FOXB1(12g),FOXB1,0.00077312,0.00158562,0.00310506,78,149,506
FOXG1(15g),FOXG1,0.00752240,0.01278032,0.01215623,78,149,506
FOXL1(8g),FOXL1,0.00984708,0.00436835,0.00346873,78,149,506
GABPA(50g),GABPA,0.04122702,0.02917573,0.02716975,78,149,506
GABPB1(7g),GABPB1,0.03832638,0.04054064,0.02641835,78,149,506
GATA1(28g),GATA1,0.00450876,0.00610604,0.00304346,78,149,506
GATA2(43g),GATA2,0.01104058,0.01023283,0.01129262,78,149,506
GATA3(15g),GATA3,0.01652507,0.01023928,0.00728566,78,149,506
GATA4(25g),GATA4,0.03158982,0.04274945,0.03065283,78,149,506
GATA5(10g),GATA5,0.02172054,0.02894851,0.01871399,78,149,506
GFI1B(5g),GFI1B,0.01558349,0.01674517,0.00581665,78,149,506
GSX2(5g),GSX2,0.00710148,0.02295524,0.02881625,78,149,506
HEY1(23g),HEY1,0.01023534,0.00605178,0.01038255,78,149,506
HNF4A(8g),HNF4A,0.03394588,0.01646393,0.02301226,78,149,506
HOXA10(21g),HOXA10,0.01716114,0.01392627,0.00961008,78,149,506
HOXA5(52g),HOXA5,0.02992462,0.00471099,0.00395472,78,149,506
HOXA7(29g),HOXA7,0.00399576,0.00174686,0.00480847,78,149,506
HOXB2(12g),HOXB2,0.02129833,0.01945197,0.02665430,78,149,506
HOXB3(6g),HOXB3,0.01510047,0.02127048,0.01491837,78,149,506
HOXC6(10g),HOXC6,0.02144636,0.00890727,0.00378396,78,149,506
HOXC9(18g),HOXC9,0.00746147,0.00399445,0.00276906,78,149,506
HSF1(47g),HSF1,0.03550207,0.09158435,0.09393095,78,149,506
HSF4(9g),HSF4,0.00880230,0.00486454,0.00447822,78,149,506
IKZF1(19g),IKZF1,0.01103910,0.01492113,0.01162407,78,149,506
ING4(8g),ING4,0.00663833,0.02782228,0.00867954,78,149,506
IRF1(127g),IRF1,0.02283612,0.01355438,0.01480286,78,149,506
IRF4(31g),IRF4,0.01684592,0.01285908,0.01390110,78,149,506
IRF5(8g),IRF5,0.01383298,0.00888579,0.01077507,78,149,506
IRF9(26g),IRF9,0.00721525,0.00666748,0.00841054,78,149,506
ISL1(9g),ISL1,0.00787659,0.01483282,0.00779369,78,149,506
JUN(23g),JUN,0.15070776,0.06539339,0.22798808,78,149,506
JUND(13g),JUND,0.03645128,0.05454886,0.05139691,78,149,506
KLF3(23g),KLF3,0.03023969,0.04689219,0.03997337,78,149,506
KLF4(13g),KLF4,0.03852689,0.02093350,0.03248964,78,149,506
KLF5(301g),KLF5,0.07221510,0.02215285,0.02148756,78,149,506
KLF6(643g),KLF6,0.09548463,0.04832508,0.05298145,78,149,506
LEF1(26g),LEF1,0.00992543,0.00521316,0.00775626,78,149,506
LHX6(14g),LHX6,0.00517592,0.00504186,0.00396245,78,149,506
LMX1A(3g),LMX1A,0.00390665,0.00335065,0.01065924,78,149,506
LTF(10g),LTF,0.06884268,0.01847659,0.01864434,78,149,506
MAFB(8g),MAFB,0.01608960,0.00517822,0.03447616,78,149,506
MEF2C(4g),MEF2C,0.13744159,0.11096062,0.10601881,78,149,506
MEIS1(22g),MEIS1,0.02025585,0.00131467,0.00127367,78,149,506
MEIS2(23g),MEIS2,0.03331092,0.01652342,0.01814217,78,149,506
MITF(28g),MITF,0.01939316,0.01387315,0.01120190,78,149,506
MXD1(6g),MXD1,0.02703281,0.02277398,0.01830816,78,149,506
MYCN(25g),MYCN,0.01460419,0.00682522,0.00962224,78,149,506
MZF1(14g),MZF1,0.01329356,0.01156736,0.00699024,78,149,506
NFE2L2(14g),NFE2L2,0.11243325,0.09811177,0.10033056,78,149,506
NFE2L3(17g),NFE2L3,0.04697239,0.00875224,0.01279429,78,149,506
NFIA(18g),NFIA,0.06043297,0.02864197,0.03723210,78,149,506
NFIC(5g),NFIC,0.10691806,0.17529312,0.14566140,78,149,506
NFKB1(26g),NFKB1,0.02180393,0.02892857,0.01969222,78,149,506
NHLH1(11g),NHLH1,0.02967201,0.03069569,0.02040140,78,149,506
NR1H3(6g),NR1H3,0.03830225,0.01934079,0.02538340,78,149,506
NR1H4(21g),NR1H4,0.01669499,0.01460324,0.01210651,78,149,506
NR2C2(265g),NR2C2,0.03395582,0.03803171,0.02978550,78,149,506
NR2F1(33g),NR2F1,0.02113466,0.02136674,0.01601204,78,149,506
NR2F2(40g),NR2F2,0.04594773,0.02735165,0.02873783,78,149,506
NR4A2(9g),NR4A2,0.06097038,0.02668616,0.02757952,78,149,506
NR5A1(5g),NR5A1,0.01842756,0.01785397,0.00977338,78,149,506
NR6A1(11g),NR6A1,0.08973920,0.06974068,0.06532319,78,149,506
OLIG1(6g),OLIG1,0.00428477,0.00007075,0.00127784,78,149,506
OVOL2(3g),OVOL2,0.00000000,0.00013982,0.00043851,78,149,506
