target_gene,regulon_label,available_in_aucell,Stage_a,Stage_b,Stage_c,n_stage_a,n_stage_b,n_stage_c
NFE2L1,,0,,,,,,
JUNB,,0,,,,,,
ATF6,,0,,,,,,
CEBPD,,0,,,,,,
FOS,FOS(37g),1,0.15072843,0.05306515,0.19496754,78,149,506
FOSB,FOSB(38g),1,0.09258873,0.02579858,0.10694510,78,149,506
ATF3,,0,,,,,,
SETDB1,,0,,,,,,
RFX3,,0,,,,,,
ELF1,ELF1(46g),1,0.05567546,0.05552415,0.05516489,78,149,506
ETV5,,0,,,,,,
SMAD1,SMAD1(115g),1,0.04778478,0.06113895,0.04862330,78,149,506
ELK4,ELK4(238g),1,0.05099081,0.04634171,0.03874342,78,149,506
