panel,gene_set,gene,source_file
C,canonical_glycolysis,PGM2L1,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PGK1,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PKLR,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,FOXK1,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PGAM1,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,GAPDHS,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PFKP,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,GAPDH,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,ADPGK,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,ALDOB,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,ALDOC,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PKM,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PFKM,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,GCK,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PGAM2,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,ALDOA,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,FOXK2,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,BPGM,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,PFKL,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,ENO2,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,HK1,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,TPI1,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,GPI,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,ENO1,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,HK3,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,HK2,SupFig4C_canonical_glycolysis.csv
C,canonical_glycolysis,ENO3,SupFig4C_canonical_glycolysis.csv
C,MMUNE_SYSTEM_candidate,COL1A2,SupFig4C_MMUNE_SYSTEM_candidate.csv
C,MMUNE_SYSTEM_candidate,ELOB,SupFig4C_MMUNE_SYSTEM_candidate.csv
C,MMUNE_SYSTEM_candidate,EGR1,SupFig4C_MMUNE_SYSTEM_candidate.csv
C,MMUNE_SYSTEM_candidate,BST2,SupFig4C_MMUNE_SYSTEM_candidate.csv
C,MMUNE_SYSTEM_candidate,FN1,SupFig4C_MMUNE_SYSTEM_candidate.csv
C,MMUNE_SYSTEM_candidate,EIF4G3,SupFig4C_MMUNE_SYSTEM_candidate.csv
C,MMUNE_SYSTEM_candidate,FOS,SupFig4C_MMUNE_SYSTEM_candidate.csv
