panel,gene_set,gene,source_file
E,SASP,ANAPC1,SupFig4E_SASP.csv
E,SASP,ANAPC10,SupFig4E_SASP.csv
E,SASP,ANAPC11,SupFig4E_SASP.csv
E,SASP,ANAPC15,SupFig4E_SASP.csv
E,SASP,ANAPC16,SupFig4E_SASP.csv
E,SASP,ANAPC2,SupFig4E_SASP.csv
E,SASP,ANAPC4,SupFig4E_SASP.csv
E,SASP,ANAPC5,SupFig4E_SASP.csv
E,SASP,ANAPC7,SupFig4E_SASP.csv
E,SASP,CCNA1,SupFig4E_SASP.csv
E,SASP,CCNA2,SupFig4E_SASP.csv
E,SASP,CDC16,SupFig4E_SASP.csv
E,SASP,CDC23,SupFig4E_SASP.csv
E,SASP,CDC26,SupFig4E_SASP.csv
E,SASP,CDC27,SupFig4E_SASP.csv
E,SASP,CDK2,SupFig4E_SASP.csv
E,SASP,CDK4,SupFig4E_SASP.csv
E,SASP,CDK6,SupFig4E_SASP.csv
E,SASP,CDKN1A,SupFig4E_SASP.csv
E,SASP,CDKN1B,SupFig4E_SASP.csv
E,SASP,CDKN2A,SupFig4E_SASP.csv
E,SASP,CDKN2B,SupFig4E_SASP.csv
E,SASP,CDKN2C,SupFig4E_SASP.csv
E,SASP,CDKN2D,SupFig4E_SASP.csv
E,SASP,CEBPB,SupFig4E_SASP.csv
E,SASP,CXCL8,SupFig4E_SASP.csv
E,SASP,EHMT1,SupFig4E_SASP.csv
E,SASP,EHMT2,SupFig4E_SASP.csv
E,SASP,FOS,SupFig4E_SASP.csv
E,SASP,FZR1,SupFig4E_SASP.csv
E,SASP,H2AB1,SupFig4E_SASP.csv
E,SASP,H2AC14,SupFig4E_SASP.csv
E,SASP,H2AC18,SupFig4E_SASP.csv
E,SASP,H2AC19,SupFig4E_SASP.csv
E,SASP,H2AC20,SupFig4E_SASP.csv
E,SASP,H2AC4,SupFig4E_SASP.csv
E,SASP,H2AC6,SupFig4E_SASP.csv
E,SASP,H2AC7,SupFig4E_SASP.csv
E,SASP,H2AC8,SupFig4E_SASP.csv
E,SASP,H2AJ,SupFig4E_SASP.csv
E,SASP,H2AX,SupFig4E_SASP.csv
E,SASP,H2AZ2,SupFig4E_SASP.csv
E,SASP,H2BC1,SupFig4E_SASP.csv
E,SASP,H2BC10,SupFig4E_SASP.csv
E,SASP,H2BC11,SupFig4E_SASP.csv
E,SASP,H2BC12,SupFig4E_SASP.csv
E,SASP,H2BC12L,SupFig4E_SASP.csv
E,SASP,H2BC13,SupFig4E_SASP.csv
E,SASP,H2BC14,SupFig4E_SASP.csv
E,SASP,H2BC15,SupFig4E_SASP.csv
E,SASP,H2BC17,SupFig4E_SASP.csv
E,SASP,H2BC21,SupFig4E_SASP.csv
E,SASP,H2BC26,SupFig4E_SASP.csv
E,SASP,H2BC3,SupFig4E_SASP.csv
E,SASP,H2BC4,SupFig4E_SASP.csv
E,SASP,H2BC5,SupFig4E_SASP.csv
E,SASP,H2BC6,SupFig4E_SASP.csv
E,SASP,H2BC7,SupFig4E_SASP.csv
E,SASP,H2BC8,SupFig4E_SASP.csv
E,SASP,H2BC9,SupFig4E_SASP.csv
E,SASP,H3-3A,SupFig4E_SASP.csv
E,SASP,H3-3B,SupFig4E_SASP.csv
E,SASP,H3C1,SupFig4E_SASP.csv
E,SASP,H3C10,SupFig4E_SASP.csv
E,SASP,H3C11,SupFig4E_SASP.csv
E,SASP,H3C12,SupFig4E_SASP.csv
E,SASP,H3C13,SupFig4E_SASP.csv
E,SASP,H3C14,SupFig4E_SASP.csv
E,SASP,H3C15,SupFig4E_SASP.csv
E,SASP,H3C2,SupFig4E_SASP.csv
E,SASP,H3C3,SupFig4E_SASP.csv
E,SASP,H3C4,SupFig4E_SASP.csv
E,SASP,H3C6,SupFig4E_SASP.csv
E,SASP,H3C7,SupFig4E_SASP.csv
E,SASP,H3C8,SupFig4E_SASP.csv
E,SASP,H4C1,SupFig4E_SASP.csv
E,SASP,H4C11,SupFig4E_SASP.csv
E,SASP,H4C12,SupFig4E_SASP.csv
E,SASP,H4C13,SupFig4E_SASP.csv
E,SASP,H4C14,SupFig4E_SASP.csv
E,SASP,H4C15,SupFig4E_SASP.csv
E,SASP,H4C16,SupFig4E_SASP.csv
E,SASP,H4C2,SupFig4E_SASP.csv
E,SASP,H4C3,SupFig4E_SASP.csv
E,SASP,H4C4,SupFig4E_SASP.csv
E,SASP,H4C5,SupFig4E_SASP.csv
E,SASP,H4C6,SupFig4E_SASP.csv
E,SASP,H4C8,SupFig4E_SASP.csv
E,SASP,H4C9,SupFig4E_SASP.csv
E,SASP,IGFBP7,SupFig4E_SASP.csv
E,SASP,IL1A,SupFig4E_SASP.csv
E,SASP,IL6,SupFig4E_SASP.csv
E,SASP,JUN,SupFig4E_SASP.csv
E,SASP,MAPK1,SupFig4E_SASP.csv
E,SASP,MAPK3,SupFig4E_SASP.csv
E,SASP,MAPK7,SupFig4E_SASP.csv
E,SASP,NFKB1,SupFig4E_SASP.csv
E,SASP,RELA,SupFig4E_SASP.csv
E,SASP,RPS27A,SupFig4E_SASP.csv
E,SASP,RPS6KA1,SupFig4E_SASP.csv
E,SASP,RPS6KA2,SupFig4E_SASP.csv
E,SASP,RPS6KA3,SupFig4E_SASP.csv
E,SASP,STAT3,SupFig4E_SASP.csv
E,SASP,UBA52,SupFig4E_SASP.csv
E,SASP,UBB,SupFig4E_SASP.csv
E,SASP,UBC,SupFig4E_SASP.csv
E,SASP,UBE2C,SupFig4E_SASP.csv
E,SASP,UBE2D1,SupFig4E_SASP.csv
E,SASP,UBE2E1,SupFig4E_SASP.csv
E,SASP,UBE2S,SupFig4E_SASP.csv
E,SASP,VENTX,SupFig4E_SASP.csv
E,MMUNE_SYSTEM,COL1A2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,ELOB,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EGR1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BST2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FN1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF4G3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FOS,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CCL4,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF2AK2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF4G2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FBXW11,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CCL2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,APP,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FAAP20,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,ELOC,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CANX,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CXCL8,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF2S1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,DHX9,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF2S2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FLNA,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF4A2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,AKT3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GHR,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FGF2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BTRC,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CENPX,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF4E3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CSF1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF4E2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BCL2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CBL,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CCL19,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CREB1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CXCL2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CXCL1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,ADAR,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,ATF1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FANCC,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CCL3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BIRC5,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FANCB,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CCND1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF2S3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EDA,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BCL2L11,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FANCM,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CXCL10,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EDARADD,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GBP1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FCER2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BECN1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CUL1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GAB2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,ALOX15,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,DUSP4,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BATF,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CNTFR,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CTSG,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EDAR,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CRLF1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GRAP2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,ARIH1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FLT3LG,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BOLA2B,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CD27,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CNTF,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CSF2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CSF3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FANCA,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FANCL,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FASLG,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GBP6,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GBP7,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GBP3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CD40LG,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CTF1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EIF2AK3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CAMK2A,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CD70,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CD80,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GATA3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,DUSP6,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GRB10,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CAMK2B,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,GSTO1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CIITA,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,AKT1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,AGER,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CCL22,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CASP3,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,AKT2,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FAAP100,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CDK1,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,CSF3R,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,EDA2R,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FAAP24,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,FANCE,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,BCL6,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,JUN,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,HERC5,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,IFI6,SupFig4E_MMUNE_SYSTEM.csv
E,MMUNE_SYSTEM,IFI27,SupFig4E_MMUNE_SYSTEM.csv
