direction,group,Description,ID,Count,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,minus_log10_pvalue,minus_log10_p_adjust,geneID
Up,iNOA_B,collagen-containing extracellular matrix,GO:0062023,19,19/97,425/19550,2.53e-13,5.56e-11,4.26e-11,12.596879478824182,10.254925208417943,AEBP1/COL14A1/IGFBP7/OGN/LGALS1/SPARCL1/VCAN/TIMP2/FN1/SMOC1/COL15A1/ITIH5/CLEC3B/COL1A2/COL6A2/A2M/LTBP1/LAMA2/LAMC3
Up,iNOA_B,contractile fiber,GO:0043292,13,13/97,239/19550,1.85e-10,2.03e-08,1.56e-08,9.732828271596986,7.692503962086787,MYH11/ACTA2/SVIL/TPM2/NEXN/TPM1/SPTBN1/SQSTM1/DMD/CALD1/MYOZ3/PALLD/AHNAK
Up,iNOA_B,actin binding,GO:0003779,16,16/93,441/18368,6.52e-10,1.3e-07,1.06e-07,9.18575240426808,6.886056647693163,MYH11/MYLK/ITGB1/SVIL/TPM2/NEXN/TMSB4X/TPM1/SPTBN1/DMD/CALD1/MACF1/ABLIM1/MYOZ3/PALLD/TNS1
Up,iNOA_B,extracellular matrix structural constituent,GO:0005201,11,11/93,172/18368,1.1e-09,1.3e-07,1.06e-07,8.958607314841775,6.886056647693163,AEBP1/COL14A1/IGFBP7/OGN/VCAN/FN1/COL15A1/COL1A2/COL6A2/LTBP1/LAMA2
Up,iNOA_B,myofibril,GO:0030016,11,11/97,231/19550,2.01e-08,1.48e-06,1.13e-06,7.696803942579511,5.8297382846050425,SVIL/TPM2/NEXN/TPM1/SPTBN1/SQSTM1/DMD/CALD1/MYOZ3/PALLD/AHNAK
Up,iNOA_B,extracellular matrix organization,GO:0030198,11,11/92,301/18723,2.61e-07,0.000186137,0.00014895,6.583359492661719,3.7301672899608476,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2
Up,iNOA_B,extracellular structure organization,GO:0043062,11,11/92,302/18723,2.7e-07,0.000186137,0.00014895,6.568636235841013,3.7301672899608476,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2
Up,iNOA_B,external encapsulating structure organization,GO:0045229,11,11/92,304/18723,2.89e-07,0.000186137,0.00014895,6.539102157243452,3.7301672899608476,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2
Up,iNOA_B,muscle tissue development,GO:0060537,12,12/92,403/18723,6.46e-07,0.000312264,0.000249879,6.189767482004916,3.5054780814199695,MYH11/MYLK/IGF2/ITGB1/SVIL/TPM1/DMD/PDGFRA/PTCH1/EGR1/MYOCD/PDGFRB
Up,iNOA_B,cell leading edge,GO:0031252,12,12/97,422/19550,1.19e-06,6.56e-05,5.02e-05,5.924453038607469,4.1830961606243395,ACTA2/MYLK/ITGB1/INSR/TPM1/SPTBN1/DPYSL3/MACF1/ABLIM1/FAT1/PALLD/LAYN
Up,iNOA_B,collagen binding,GO:0005518,6,6/93,69/18368,1.33e-06,9.09e-05,7.41e-05,5.876148359032914,4.041436116778033,AEBP1/COL14A1/ITGB1/SPARCL1/FN1/COL6A2
Up,iNOA_B,actin filament binding,GO:0051015,9,9/93,217/18368,1.55e-06,9.09e-05,7.41e-05,5.809668301829708,4.041436116778033,MYH11/SVIL/TPM2/NEXN/TPM1/SPTBN1/DMD/MACF1/ABLIM1
Up,iNOA_B,structural constituent of muscle,GO:0008307,5,5/93,42/18368,2.19e-06,0.000102922,8.39e-05,5.6595558851598815,3.9874917830862104,MYH11/TPM2/NEXN/TPM1/DMD
Up,iNOA_B,endoplasmic reticulum lumen,GO:0005788,10,10/97,313/19550,3.52e-06,0.000155005,0.000118664,5.453457336521869,3.809654292556247,COL14A1/IGFBP7/LGALS1/SPARCL1/VCAN/FN1/COL15A1/COL1A2/COL6A2/LTBP1
Up,iNOA_B,glomerulus vasculature development,GO:0072012,4,4/92,25/18723,6.38e-06,0.002428673,0.001943467,5.195179321278838,2.6146309552877707,ACTA2/PDGFRA/EGR1/PDGFRB
