direction,group,rank_in_group,Description,ID,Count,pvalue,p.adjust,minus_log10_pvalue,minus_log10_p_adjust,geneID
Up,AZFc,1,collagen-containing extracellular matrix,GO:0062023,35,8.79e-13,4.17e-10,12.056011124926227,9.379863945026242,PODN/TIMP2/IGFBP7/LTBP4/OGN/APOA1/ANGPTL1/FN1/COL1A2/OMD/SERPINA5/LGALS1/COL6A2/SERPINE2/A2M/S100A4/CLU/DPT/PCSK6/COL14A1/FGF10/LAMC3/COL15A1/ITIH5/CLEC3B/CDH2/PLSCR1/MGP/LUM/COL18A1/LAMB2/DCN/VCAN/CILP/TIMP3
Up,AZFc,2,vesicle lumen,GO:0031983,26,1.77e-09,4.19e-07,8.752026733638193,6.377785977033705,IGF1/SELENOP/PENK/TIMP2/APOA1/APP/BACE1/ISLR/FN1/PSMD7/CFD/A2M/CLU/CPPED1/HGF/CAP1/HUWE1/PSMA2/GAS6/CLEC3B/B2M/VCL/EGFR/QSOX1/CRISPLD2/TIMP3
Up,AZFc,3,cytoplasmic vesicle lumen,GO:0060205,25,7.15e-09,1.13e-06,8.145693958198919,5.94692155651658,IGF1/SELENOP/PENK/TIMP2/APOA1/APP/BACE1/ISLR/FN1/PSMD7/CFD/A2M/CLU/CPPED1/HGF/CAP1/HUWE1/PSMA2/GAS6/CLEC3B/B2M/VCL/QSOX1/CRISPLD2/TIMP3
Up,AZFc,4,reproductive system development,GO:0061458,29,8.32e-09,3.49e-05,8.079876673709276,4.45717457304082,UBB/CITED1/SOX9/CTSV/PDGFRA/HES1/SERPINA5/INHBA/SERPINE2/FGF10/RHOBTB3/SOX15/NOTCH2/NKX3-1/KITLG/FOXC1/PDGFRB/BMPR2/SP3/HMGB2/LGR4/ZFP36L1/DCN/AR/UBE2Q1/PKD2/ITGB8/TRIM28/LHX9
Up,AZFc,5,endoplasmic reticulum lumen,GO:0005788,24,1.53e-08,1.81e-06,7.815308569182402,5.7423214251308154,PPIB/PENK/IGFBP7/APOA1/APP/BACE1/FN1/COL1A2/LGALS1/COL6A2/CLU/COL14A1/COL15A1/GAS6/PDIA6/B2M/CDH2/RCN1/COL18A1/LAMB2/H6PD/QSOX1/VCAN/SUMF2
Up,AZFc,6,secretory granule lumen,GO:0034774,24,2.64e-08,2.5e-06,7.578396073130169,5.6020599913279625,IGF1/SELENOP/PENK/TIMP2/APOA1/APP/ISLR/FN1/PSMD7/CFD/A2M/CLU/CPPED1/HGF/CAP1/HUWE1/PSMA2/GAS6/CLEC3B/B2M/VCL/QSOX1/CRISPLD2/TIMP3
Up,AZFc,7,reproductive structure development,GO:0048608,28,2.77e-08,3.62e-05,7.557520230935552,4.441291429466834,UBB/CITED1/SOX9/CTSV/PDGFRA/HES1/SERPINA5/INHBA/SERPINE2/FGF10/RHOBTB3/SOX15/NOTCH2/NKX3-1/KITLG/FOXC1/PDGFRB/BMPR2/SP3/HMGB2/LGR4/ZFP36L1/DCN/AR/PKD2/ITGB8/TRIM28/LHX9
Up,AZFc,8,renal system vasculature development,GO:0061437,8,3.45e-08,3.62e-05,7.462180904926726,4.441291429466834,ACTA2/PDGFRA/HES1/NOTCH2/EGR1/NRP1/PDGFRB/PKD2
Up,AZFc,9,kidney vasculature development,GO:0061440,8,3.45e-08,3.62e-05,7.462180904926726,4.441291429466834,ACTA2/PDGFRA/HES1/NOTCH2/EGR1/NRP1/PDGFRB/PKD2
Up,AZFc,10,peptidase regulator activity,GO:0061134,20,5.3e-08,2.59e-05,7.275724130399211,4.586700235918748,GAPDH/TIMP2/APP/EPPIN/FN1/CST9L/PSME1/SERPINA5/SERPINE2/A2M/BST2/PRNP/NKX3-1/TFPI/ITIH5/GAS6/PINK1/ADRM1/CRIM1/TIMP3
Up,AZFc,11,metanephric nephron development,GO:0072210,9,6.64e-08,5.57e-05,7.1778319206319825,4.2541448048262716,CITED1/SOX9/PDGFRA/HES1/EGR1/LAMB2/PDGFRB/LGR4/PKD2
Up,AZFc,12,focal adhesion,GO:0005925,27,7.01e-08,5.53e-06,7.154281982033341,5.257274868695302,PPIB/VIM/CD81/ILK/ITGAV/FLII/AKAP12/LRP1/CAP1/SNAP23/NCKAP1/B2M/CDH2/NRP1/SNTB2/SVIL/VCL/MPRIP/MRC2/PDGFRB/EGFR/ITGA6/FAT1/GNA12/ITGB8/AHNAK/ZYX
Up,AZFc,13,extracellular matrix structural constituent,GO:0005201,17,8.45e-08,2.59e-05,7.073143291050307,4.586700235918748,PODN/IGFBP7/LTBP4/OGN/FN1/COL1A2/COL6A2/DPT/COL14A1/COL15A1/MGP/LUM/COL18A1/LAMB2/DCN/VCAN/CILP
Up,AZFc,14,regeneration,GO:0031099,18,8.47e-08,5.6e-05,7.072116589669293,4.251811972993799,IGF1/APOA1/CD81/CDK4/SRSF5/LRP1/HGF/CERS2/STK24/FGF10/SOX15/YAP1/GAS6/HOPX/LAMB2/EGFR/PRRX1/ERBB4
Up,AZFc,15,cell-substrate junction,GO:0030055,27,9.82e-08,6.65e-06,7.00788851221305,5.1771783546968955,PPIB/VIM/CD81/ILK/ITGAV/FLII/AKAP12/LRP1/CAP1/SNAP23/NCKAP1/B2M/CDH2/NRP1/SNTB2/SVIL/VCL/MPRIP/MRC2/PDGFRB/EGFR/ITGA6/FAT1/GNA12/ITGB8/AHNAK/ZYX
Up,iNOA_B,1,collagen-containing extracellular matrix,GO:0062023,19,2.53e-13,5.56e-11,12.596879478824182,10.254925208417943,AEBP1/COL14A1/IGFBP7/OGN/LGALS1/SPARCL1/VCAN/TIMP2/FN1/SMOC1/COL15A1/ITIH5/CLEC3B/COL1A2/COL6A2/A2M/LTBP1/LAMA2/LAMC3
Up,iNOA_B,2,contractile fiber,GO:0043292,13,1.85e-10,2.03e-08,9.732828271596986,7.692503962086787,MYH11/ACTA2/SVIL/TPM2/NEXN/TPM1/SPTBN1/SQSTM1/DMD/CALD1/MYOZ3/PALLD/AHNAK
Up,iNOA_B,3,actin binding,GO:0003779,16,6.52e-10,1.3e-07,9.18575240426808,6.886056647693163,MYH11/MYLK/ITGB1/SVIL/TPM2/NEXN/TMSB4X/TPM1/SPTBN1/DMD/CALD1/MACF1/ABLIM1/MYOZ3/PALLD/TNS1
Up,iNOA_B,4,extracellular matrix structural constituent,GO:0005201,11,1.1e-09,1.3e-07,8.958607314841775,6.886056647693163,AEBP1/COL14A1/IGFBP7/OGN/VCAN/FN1/COL15A1/COL1A2/COL6A2/LTBP1/LAMA2
Up,iNOA_B,5,myofibril,GO:0030016,11,2.01e-08,1.48e-06,7.696803942579511,5.8297382846050425,SVIL/TPM2/NEXN/TPM1/SPTBN1/SQSTM1/DMD/CALD1/MYOZ3/PALLD/AHNAK
Up,iNOA_B,6,extracellular matrix organization,GO:0030198,11,2.61e-07,0.000186137,6.583359492661719,3.7301672899608476,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2
Up,iNOA_B,7,extracellular structure organization,GO:0043062,11,2.7e-07,0.000186137,6.568636235841013,3.7301672899608476,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2
Up,iNOA_B,8,external encapsulating structure organization,GO:0045229,11,2.89e-07,0.000186137,6.539102157243452,3.7301672899608476,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2
Up,iNOA_B,9,muscle tissue development,GO:0060537,12,6.46e-07,0.000312264,6.189767482004916,3.5054780814199695,MYH11/MYLK/IGF2/ITGB1/SVIL/TPM1/DMD/PDGFRA/PTCH1/EGR1/MYOCD/PDGFRB
Up,iNOA_B,10,cell leading edge,GO:0031252,12,1.19e-06,6.56e-05,5.924453038607469,4.1830961606243395,ACTA2/MYLK/ITGB1/INSR/TPM1/SPTBN1/DPYSL3/MACF1/ABLIM1/FAT1/PALLD/LAYN
Up,iNOA_B,11,collagen binding,GO:0005518,6,1.33e-06,9.09e-05,5.876148359032914,4.041436116778033,AEBP1/COL14A1/ITGB1/SPARCL1/FN1/COL6A2
Up,iNOA_B,12,actin filament binding,GO:0051015,9,1.55e-06,9.09e-05,5.809668301829708,4.041436116778033,MYH11/SVIL/TPM2/NEXN/TPM1/SPTBN1/DMD/MACF1/ABLIM1
Up,iNOA_B,13,structural constituent of muscle,GO:0008307,5,2.19e-06,0.000102922,5.6595558851598815,3.9874917830862104,MYH11/TPM2/NEXN/TPM1/DMD
Up,iNOA_B,14,endoplasmic reticulum lumen,GO:0005788,10,3.52e-06,0.000155005,5.453457336521869,3.809654292556247,COL14A1/IGFBP7/LGALS1/SPARCL1/VCAN/FN1/COL15A1/COL1A2/COL6A2/LTBP1
Up,iNOA_B,15,glomerulus vasculature development,GO:0072012,4,6.38e-06,0.002428673,5.195179321278838,2.6146309552877707,ACTA2/PDGFRA/EGR1/PDGFRB
Up,iNOA_S,1,collagen-containing extracellular matrix,GO:0062023,76,3.9e-22,2.3e-19,21.4089353929735,18.638272163982407,ANGPTL1/SERPINE2/DCN/COL15A1/OGN/COL1A2/FGF10/LTBP4/COL6A2/MDK/TIMP2/LGALS1/CILP/PCOLCE/IGFBP7/FN1/MMP2/LUM/DPT/COL1A1/LAMA4/OMD/COL6A3/COL3A1/ANXA2/LAMC3/SFRP1/SPARC/S100A4/PTN/FBLN5/ANXA5/VCAN/LGALS3BP/LAMA2/ENTPD2/TIMP1/CXCL12/COL6A1/NID1/ADAMTS1/LAMB2/COL14A1/ANGPTL5/COL5A1/CCDC80/ITIH5/LAMC1/TGFB3/TIMP3/SERPINH1/SPARCL1/APOA1/EFEMP2/SMOC1/VIT/COL12A1/ADAMTS5/SERPING1/FBN1/COL4A5/CLEC3B/MFGE8/CTSC/CTSF/MGP/PLSCR1/PODN/ECM1/EMILIN1/ANGPTL4/ADAMTS3/LTBP3/HSP90B1/DLG1/AEBP1
Up,iNOA_S,2,ossification,GO:0001503,67,1.58e-17,8.46e-14,16.801342913045577,13.072629636960977,PENK/COL1A2/IGF1/MDK/OSR2/MMP2/COL1A1/OMD/CITED1/EGFR/JUNB/DDR2/KLF10/SFRP1/SMAD5/ANO6/SNAI2/SPARC/CHSY1/RRBP1/PTCH1/PTN/VCAN/SP3/RASSF2/COL6A1/CREB3L1/IGFBP5/BMPR2/HGF/BCAP29/CLIC1/GPNMB/SOX9/CTSK/FOXC1/RBPJ/TGFB3/PKDCC/EXT2/FBL/OSR1/WWTR1/SMOC1/THRA/ADAR/TOB2/CLEC3B/PRKACA/MRC2/NIPBL/HNRNPU/MMP14/BMPR1A/MGP/ECM1/ATF4/JUND/YAP1/SORT1/SNRNP200/CDH11/TWSG1/LTBP3/DHX9/PTPN11/DHX36
