,ST Maturity,BTB Integrity,ST Stress IEG,ST SASP,ST Lactate Export,ST DHH Ligand,LC Mature,LC Immature,Germ Maturity Index,Germ Latest Stage
ST Maturity,0.0,0.0012683547141332456,0.9138955872505001,0.3572815508572662,0.028556429828688095,0.007531814154209,0.0032951673878379127,0.027719016724468144,0.05524771246625868,0.020591400314356877
BTB Integrity,0.0012683547141332456,0.0,0.6770693004244677,0.5744446687248965,0.25336681832864016,0.042472265047189005,0.0032951673878379127,0.0032951673878379127,0.0769228152953486,0.020591400314356877
ST Stress IEG,0.9138955872505001,0.6770693004244677,0.0,0.0012683547141332456,0.4379893488840021,0.9138955872505001,0.9138955872505001,0.09698145421731652,0.2649017731150143,0.42322248860867817
ST SASP,0.3572815508572662,0.5744446687248965,0.0012683547141332456,0.0,0.023403415893024027,0.19213074346099324,0.5566474521184863,0.42823582281463896,0.7642979499754465,0.9138955872505001
ST Lactate Export,0.028556429828688095,0.25336681832864016,0.4379893488840021,0.023403415893024027,0.0,0.020102439139821553,0.26210868510385404,0.8360485010697886,0.41432609063915515,0.19213074346099324
ST DHH Ligand,0.007531814154209,0.042472265047189005,0.9138955872505001,0.19213074346099324,0.020102439139821553,0.0,0.0769228152953486,0.15268093951934858,0.017320226417803234,0.020591400314356877
LC Mature,0.0032951673878379127,0.0032951673878379127,0.9138955872505001,0.5566474521184863,0.26210868510385404,0.0769228152953486,0.0,0.03215074633341799,0.26210868510385404,0.05396145940228559
LC Immature,0.027719016724468144,0.0032951673878379127,0.09698145421731652,0.42823582281463896,0.8360485010697886,0.15268093951934858,0.03215074633341799,0.0,0.020591400314356877,0.020102439139821553
Germ Maturity Index,0.05524771246625868,0.0769228152953486,0.2649017731150143,0.7642979499754465,0.41432609063915515,0.017320226417803234,0.26210868510385404,0.020591400314356877,0.0,0.0014378553281169137
Germ Latest Stage,0.020591400314356877,0.020591400314356877,0.42322248860867817,0.9138955872505001,0.19213074346099324,0.020591400314356877,0.05396145940228559,0.020102439139821553,0.0014378553281169137,0.0
