row_score,col_score,spearman_rho,p_value,fdr_bh_q,stars,text_label
ST Maturity,ST Maturity,1.0,0.0,0.0,,1.00
ST Maturity,BTB Integrity,0.8352941176470589,5.637132062814425e-05,0.0012683547141332456,**,0.84**
ST Maturity,ST Stress IEG,-0.03529411764705882,0.8967532476935333,0.9138955872505001,,-0.04
ST Maturity,ST SASP,0.3029411764705882,0.2540668806096115,0.3572815508572662,,0.30
ST Maturity,ST Lactate Export,0.6176470588235293,0.010787984601948835,0.028556429828688095,*,0.62*
ST Maturity,ST DHH Ligand,0.7352941176470589,0.0011716155350991778,0.007531814154209,**,0.74**
ST Maturity,LC Mature,0.7735294117647058,0.0004393556517117217,0.0032951673878379127,**,0.77**
ST Maturity,LC Immature,-0.6235294117647059,0.009855650390922007,0.027719016724468144,*,-0.62*
ST Maturity,Germ Maturity Index,0.5545746842434832,0.025782265817587385,0.05524771246625868,,0.55
ST Maturity,Germ Latest Stage,0.653678959146267,0.006025317880097966,0.020591400314356877,*,0.65*
BTB Integrity,ST Maturity,0.8352941176470589,5.637132062814425e-05,0.0012683547141332456,**,0.84**
BTB Integrity,BTB Integrity,1.0,0.0,0.0,,1.00
BTB Integrity,ST Stress IEG,-0.14705882352941177,0.5867933937012053,0.6770693004244677,,-0.15
BTB Integrity,ST SASP,0.18823529411764706,0.4850866091454682,0.5744446687248965,,0.19
BTB Integrity,ST Lactate Export,0.37058823529411766,0.15765046473782054,0.25336681832864016,,0.37
BTB Integrity,ST DHH Ligand,0.5823529411764706,0.01793273413103536,0.042472265047189005,*,0.58*
BTB Integrity,LC Mature,0.7735294117647058,0.0004393556517117217,0.0032951673878379127,**,0.77**
BTB Integrity,LC Immature,-0.7764705882352941,0.0004043508405454705,0.0032951673878379127,**,-0.78**
BTB Integrity,Germ Maturity Index,0.5191763001428353,0.03931610559540039,0.0769228152953486,,0.52
BTB Integrity,Germ Latest Stage,0.6572706017789388,0.005662705939402968,0.020591400314356877,*,0.66*
ST Stress IEG,ST Maturity,-0.03529411764705882,0.8967532476935333,0.9138955872505001,,-0.04
ST Stress IEG,BTB Integrity,-0.14705882352941177,0.5867933937012053,0.6770693004244677,,-0.15
ST Stress IEG,ST Stress IEG,1.0,0.0,0.0,,1.00
ST Stress IEG,ST SASP,0.8411764705882352,4.442904294313837e-05,0.0012683547141332456,**,0.84**
ST Stress IEG,ST Lactate Export,0.25,0.3503914791072017,0.4379893488840021,,0.25
ST Stress IEG,ST DHH Ligand,0.032352941176470584,0.9053195187918449,0.9138955872505001,,0.03
ST Stress IEG,LC Mature,-0.02941176470588235,0.9138955872505001,0.9138955872505001,,-0.03
ST Stress IEG,LC Immature,0.4941176470588235,0.051723442249235474,0.09698145421731652,,0.49
ST Stress IEG,Germ Maturity Index,-0.351033975664758,0.18248788814589872,0.2649017731150143,,-0.35
ST Stress IEG,Germ Latest Stage,-0.26578155481771293,0.31976810250433463,0.42322248860867817,,-0.27
ST SASP,ST Maturity,0.3029411764705882,0.2540668806096115,0.3572815508572662,,0.30
ST SASP,BTB Integrity,0.18823529411764706,0.4850866091454682,0.5744446687248965,,0.19
ST SASP,ST Stress IEG,0.8411764705882352,4.442904294313837e-05,0.0012683547141332456,**,0.84**
ST SASP,ST SASP,1.0,0.0,0.0,,1.00
ST SASP,ST Lactate Export,0.6382352941176471,0.007801138631008009,0.023403415893024027,*,0.64*
ST SASP,ST DHH Ligand,0.411764705882353,0.11303386621436724,0.19213074346099324,,0.41
ST SASP,LC Mature,0.19999999999999998,0.45768790507519985,0.5566474521184863,,0.20
ST SASP,LC Immature,0.2588235294117647,0.3330723066336081,0.42823582281463896,,0.26
ST SASP,Germ Maturity Index,-0.11209488298538492,0.6793759555337302,0.7642979499754465,,-0.11
ST SASP,Germ Latest Stage,0.043099711592061565,0.874073317677398,0.9138955872505001,,0.04
ST Lactate Export,ST Maturity,0.6176470588235293,0.010787984601948835,0.028556429828688095,*,0.62*
