,ST Maturity,BTB Integrity,ST Stress IEG,ST SASP,ST Lactate Export,ST DHH Ligand,LC Mature,LC Immature,Germ Maturity Index,Germ Latest Stage
ST Maturity,0.0,5.637132062814425e-05,0.8967532476935333,0.2540668806096115,0.010787984601948835,0.0011716155350991778,0.0004393556517117217,0.009855650390922007,0.025782265817587385,0.006025317880097966
BTB Integrity,5.637132062814425e-05,0.0,0.5867933937012053,0.4850866091454682,0.15765046473782054,0.01793273413103536,0.0004393556517117217,0.0004043508405454705,0.03931610559540039,0.005662705939402968
ST Stress IEG,0.8967532476935333,0.5867933937012053,0.0,4.442904294313837e-05,0.3503914791072017,0.9053195187918449,0.9138955872505001,0.051723442249235474,0.18248788814589872,0.31976810250433463
ST SASP,0.2540668806096115,0.4850866091454682,4.442904294313837e-05,0.0,0.007801138631008009,0.11303386621436724,0.45768790507519985,0.3330723066336081,0.6793759555337302,0.874073317677398
ST Lactate Export,0.010787984601948835,0.15765046473782054,0.3503914791072017,0.007801138631008009,0.0,0.004467208697738123,0.17230386289263244,0.761733078752474,0.3038391331353804,0.11527844607659594
ST DHH Ligand,0.0011716155350991778,0.01793273413103536,0.9053195187918449,0.11303386621436724,0.004467208697738123,0.0,0.03869090714064999,0.08482274417741588,0.0030791513631650198,0.006406213431133251
LC Mature,0.0004393556517117217,0.0004393556517117217,0.9138955872505001,0.45768790507519985,0.17230386289263244,0.03869090714064999,0.0,0.012860298533367195,0.17473912340256934,0.02398287084546026
LC Immature,0.009855650390922007,0.0004043508405454705,0.051723442249235474,0.3330723066336081,0.761733078752474,0.08482274417741588,0.012860298533367195,0.0,0.005903065347447846,0.004382422540966209
Germ Maturity Index,0.025782265817587385,0.03931610559540039,0.18248788814589872,0.6793759555337304,0.3038391331353804,0.0030791513631650198,0.17473912340256934,0.005903065347447846,7.135409263138563e-109,9.585702187446092e-05
Germ Latest Stage,0.006025317880097966,0.00566270593940299,0.31976810250433463,0.874073317677398,0.11527844607659594,0.006406213431133251,0.02398287084546026,0.004382422540966209,9.585702187446092e-05,0.0
