,ST Maturity,BTB Integrity,ST Stress IEG,ST SASP,ST Lactate Export,ST DHH Ligand,LC Mature,LC Immature,Germ Maturity Index,Germ Latest Stage
ST Maturity,1.0,0.8352941176470589,-0.03529411764705882,0.3029411764705882,0.6176470588235293,0.7352941176470589,0.7735294117647058,-0.6235294117647059,0.5545746842434832,0.653678959146267
BTB Integrity,0.8352941176470589,1.0,-0.14705882352941177,0.18823529411764706,0.37058823529411766,0.5823529411764706,0.7735294117647058,-0.7764705882352941,0.5191763001428353,0.6572706017789388
ST Stress IEG,-0.03529411764705882,-0.14705882352941177,1.0,0.8411764705882352,0.25,0.032352941176470584,-0.02941176470588235,0.4941176470588235,-0.351033975664758,-0.26578155481771293
ST SASP,0.3029411764705882,0.18823529411764706,0.8411764705882352,1.0,0.6382352941176471,0.411764705882353,0.19999999999999998,0.2588235294117647,-0.11209488298538492,0.043099711592061565
ST Lactate Export,0.6176470588235293,0.37058823529411766,0.25,0.6382352941176471,1.0,0.6705882352941177,0.3588235294117647,-0.0823529411764706,0.27433747678002096,0.4094472601245848
ST DHH Ligand,0.7352941176470589,0.5823529411764706,0.032352941176470584,0.411764705882353,0.6705882352941177,1.0,0.5205882352941177,-0.4441176470588235,0.6902684899626333,0.6500873165135952
LC Mature,0.7735294117647058,0.7735294117647058,-0.02941176470588235,0.19999999999999998,0.3588235294117647,0.5205882352941177,1.0,-0.6058823529411764,0.3569337063481993,0.5602962506968003
LC Immature,-0.6235294117647059,-0.7764705882352941,0.4941176470588235,0.2588235294117647,-0.0823529411764706,-0.4441176470588235,-0.6058823529411764,1.0,-0.6548701058619855,-0.6716371723096259
Germ Maturity Index,0.5545746842434832,0.5191763001428353,-0.351033975664758,-0.11209488298538489,0.27433747678002096,0.6902684899626333,0.3569337063481993,-0.6548701058619855,0.9999999999999998,0.8213137116947162
Germ Latest Stage,0.653678959146267,0.6572706017789387,-0.26578155481771293,0.04309971159206156,0.4094472601245848,0.6500873165135952,0.5602962506968003,-0.6716371723096259,0.8213137116947162,1.0
