,ST Maturity,BTB Integrity,ST Stress IEG,ST SASP,ST Lactate Export,ST DHH Ligand,LC Mature,LC Immature,Germ Maturity Index,Germ Latest Stage
ST Maturity,1.00,0.84**,-0.04,0.30,0.62*,0.74**,0.77**,-0.62*,0.55,0.65*
BTB Integrity,0.84**,1.00,-0.15,0.19,0.37,0.58*,0.77**,-0.78**,0.52,0.66*
ST Stress IEG,-0.04,-0.15,1.00,0.84**,0.25,0.03,-0.03,0.49,-0.35,-0.27
ST SASP,0.30,0.19,0.84**,1.00,0.64*,0.41,0.20,0.26,-0.11,0.04
ST Lactate Export,0.62*,0.37,0.25,0.64*,1.00,0.67*,0.36,-0.08,0.27,0.41
ST DHH Ligand,0.74**,0.58*,0.03,0.41,0.67*,1.00,0.52,-0.44,0.69*,0.65*
LC Mature,0.77**,0.77**,-0.03,0.20,0.36,0.52,1.00,-0.61*,0.36,0.56
LC Immature,-0.62*,-0.78**,0.49,0.26,-0.08,-0.44,-0.61*,1.00,-0.65*,-0.67*
Germ Maturity Index,0.55,0.52,-0.35,-0.11,0.27,0.69*,0.36,-0.65*,1.00,0.82**
Germ Latest Stage,0.65*,0.66*,-0.27,0.04,0.41,0.65*,0.56,-0.67*,0.82**,1.00
